location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-07-15,2025-07-17,2025-07-16
NSW,RSV,2025-07-15,2025-07-17,2025-07-16
NT,RSV,2025-07-14,2025-07-17,2025-07-16
NZ,RSV,NA,NA,NA
QLD,RSV,2025-07-15,2025-07-17,2025-07-16
SA,RSV,2025-07-15,2025-07-17,2025-07-16
TAS,RSV,2025-07-10,2025-07-17,2025-07-16
VIC,RSV,2025-07-15,2025-07-17,2025-07-16
WA,RSV,2025-07-15,2025-07-17,2025-07-16
ACT,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
NSW,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
NT,SARSCOV2,2025-07-14,2025-07-17,2025-07-16
NZ,SARSCOV2,2025-07-07,2025-07-17,2025-07-08
QLD,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
SA,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
TAS,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
VIC,SARSCOV2,2025-07-15,2025-07-17,2025-07-16
WA,SARSCOV2,2025-07-11,2025-07-17,2025-07-16
ACT,flu,2025-07-15,2025-07-17,2025-07-16
NSW,flu,2025-07-15,2025-07-17,2025-07-16
NT,flu,2025-07-14,2025-07-17,2025-07-16
NZ,flu,NA,NA,NA
QLD,flu,2025-07-15,2025-07-17,2025-07-16
SA,flu,2025-07-15,2025-07-17,2025-07-16
TAS,flu,2025-07-15,2025-07-17,2025-07-16
VIC,flu,2025-07-15,2025-07-17,2025-07-16
WA,flu,2025-07-15,2025-07-17,2025-07-16
NZ,RSV_NZhosp,2025-06-29,2025-07-17,2025-07-08
NZ,SARSCOV2_NZhosp,2025-07-01,2025-07-17,2025-07-08
NZ,flu_NZhosp,2025-06-29,2025-07-17,2025-07-08
