location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-06-30,2025-07-03,2025-07-01
NSW,RSV,2025-06-30,2025-07-03,2025-07-01
NT,RSV,2025-06-27,2025-07-03,2025-07-01
NZ,RSV,NA,NA,NA
QLD,RSV,2025-06-30,2025-07-03,2025-07-01
TAS,RSV,2025-06-26,2025-07-03,2025-07-01
VIC,RSV,2025-07-01,2025-07-03,2025-07-02
WA,RSV,2025-06-30,2025-07-03,2025-07-01
ACT,SARSCOV2,2025-06-30,2025-07-03,2025-07-01
NSW,SARSCOV2,2025-06-30,2025-07-03,2025-07-01
NT,SARSCOV2,2025-06-26,2025-07-03,2025-07-01
NZ,SARSCOV2,2025-06-29,2025-07-03,2025-06-30
QLD,SARSCOV2,2025-06-30,2025-07-03,2025-07-01
TAS,SARSCOV2,2025-06-30,2025-07-03,2025-07-01
VIC,SARSCOV2,2025-07-01,2025-07-03,2025-07-02
WA,SARSCOV2,2025-06-27,2025-07-03,2025-07-01
ACT,flu,2025-06-30,2025-07-03,2025-07-01
NSW,flu,2025-06-30,2025-07-03,2025-07-01
NT,flu,2025-06-27,2025-07-03,2025-07-01
NZ,flu,NA,NA,NA
QLD,flu,2025-06-30,2025-07-03,2025-07-01
TAS,flu,2025-06-30,2025-07-03,2025-07-01
VIC,flu,2025-07-01,2025-07-03,2025-07-02
WA,flu,2025-06-30,2025-07-03,2025-07-01
NZ,RSV_NZhosp,2025-06-22,2025-07-03,2025-06-30
NZ,SARSCOV2_NZhosp,2025-06-28,2025-07-03,2025-06-30
NZ,flu_NZhosp,2025-06-22,2025-07-03,2025-06-30
