location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-07-29,2025-07-31,2025-07-30
NSW,RSV,2025-07-29,2025-07-31,2025-07-30
NT,RSV,2025-07-28,2025-07-31,2025-07-30
NZ,RSV,NA,NA,NA
QLD,RSV,2025-07-29,2025-07-31,2025-07-30
SA,RSV,2025-07-29,2025-07-31,2025-07-30
TAS,RSV,2025-07-25,2025-07-31,2025-07-30
VIC,RSV,2025-07-29,2025-07-31,2025-07-30
WA,RSV,2025-07-29,2025-07-31,2025-07-30
ACT,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
NSW,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
NT,SARSCOV2,2025-07-28,2025-07-31,2025-07-30
NZ,SARSCOV2,2025-07-27,2025-07-31,2025-07-28
QLD,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
SA,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
TAS,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
VIC,SARSCOV2,2025-07-29,2025-07-31,2025-07-30
WA,SARSCOV2,2025-07-25,2025-07-31,2025-07-30
ACT,flu,2025-07-29,2025-07-31,2025-07-30
NSW,flu,2025-07-29,2025-07-31,2025-07-30
NT,flu,2025-07-28,2025-07-31,2025-07-30
NZ,flu,NA,NA,NA
QLD,flu,2025-07-29,2025-07-31,2025-07-30
SA,flu,2025-07-29,2025-07-31,2025-07-30
TAS,flu,2025-07-29,2025-07-31,2025-07-30
VIC,flu,2025-07-29,2025-07-31,2025-07-30
WA,flu,2025-07-29,2025-07-31,2025-07-30
NZ,RSV_NZhosp,2025-07-19,2025-07-31,2025-07-28
NZ,SARSCOV2_NZhosp,2025-07-22,2025-07-31,2025-07-28
NZ,flu_NZhosp,2025-07-19,2025-07-31,2025-07-28
