location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-07-22,2025-07-24,2025-07-23
NSW,RSV,2025-07-22,2025-07-24,2025-07-23
NT,RSV,2025-07-21,2025-07-24,2025-07-23
NZ,RSV,NA,NA,NA
QLD,RSV,2025-07-22,2025-07-24,2025-07-23
SA,RSV,2025-07-22,2025-07-24,2025-07-23
TAS,RSV,2025-07-17,2025-07-24,2025-07-23
VIC,RSV,2025-07-22,2025-07-24,2025-07-23
WA,RSV,2025-07-22,2025-07-24,2025-07-23
ACT,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
NSW,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
NT,SARSCOV2,2025-07-21,2025-07-24,2025-07-23
NZ,SARSCOV2,2025-07-20,2025-07-24,2025-07-21
QLD,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
SA,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
TAS,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
VIC,SARSCOV2,2025-07-22,2025-07-24,2025-07-23
WA,SARSCOV2,2025-07-18,2025-07-24,2025-07-23
ACT,flu,2025-07-22,2025-07-24,2025-07-23
NSW,flu,2025-07-22,2025-07-24,2025-07-23
NT,flu,2025-07-21,2025-07-24,2025-07-23
NZ,flu,NA,NA,NA
QLD,flu,2025-07-22,2025-07-24,2025-07-23
SA,flu,2025-07-22,2025-07-24,2025-07-23
TAS,flu,2025-07-21,2025-07-24,2025-07-23
VIC,flu,2025-07-22,2025-07-24,2025-07-23
WA,flu,2025-07-22,2025-07-24,2025-07-23
NZ,RSV_NZhosp,2025-07-06,2025-07-24,2025-07-21
NZ,SARSCOV2_NZhosp,2025-07-15,2025-07-24,2025-07-21
NZ,flu_NZhosp,2025-07-06,2025-07-24,2025-07-21
