location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-09-23,2025-09-25,2025-09-24
NSW,RSV,2025-09-23,2025-09-25,2025-09-24
NT,RSV,2025-09-22,2025-09-25,2025-09-24
NZ,RSV,NA,NA,NA
QLD,RSV,2025-09-23,2025-09-25,2025-09-24
SA,RSV,2025-09-23,2025-09-25,2025-09-24
TAS,RSV,2025-09-18,2025-09-25,2025-09-24
VIC,RSV,2025-09-23,2025-09-25,2025-09-24
WA,RSV,2025-09-22,2025-09-25,2025-09-24
ACT,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
NSW,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
NT,SARSCOV2,2025-09-22,2025-09-25,2025-09-24
NZ,SARSCOV2,2025-09-18,2025-09-25,2025-09-21
QLD,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
SA,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
TAS,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
VIC,SARSCOV2,2025-09-23,2025-09-25,2025-09-24
WA,SARSCOV2,2025-09-18,2025-09-25,2025-09-24
ACT,flu,2025-09-23,2025-09-25,2025-09-24
NSW,flu,2025-09-23,2025-09-25,2025-09-24
NT,flu,2025-09-22,2025-09-25,2025-09-24
NZ,flu,NA,NA,NA
QLD,flu,2025-09-23,2025-09-25,2025-09-24
SA,flu,2025-09-23,2025-09-25,2025-09-24
TAS,flu,2025-09-23,2025-09-25,2025-09-24
VIC,flu,2025-09-23,2025-09-25,2025-09-24
WA,flu,2025-09-22,2025-09-25,2025-09-24
NZ,RSV_NZhosp,2025-09-14,2025-09-25,2025-09-18
NZ,SARSCOV2_NZhosp,2025-09-13,2025-09-25,2025-09-21
NZ,flu_NZhosp,2025-09-14,2025-09-25,2025-09-18
