location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-08-26,2025-08-28,2025-08-27
NSW,RSV,2025-08-26,2025-08-28,2025-08-27
NT,RSV,2025-08-25,2025-08-28,2025-08-27
NZ,RSV,NA,NA,NA
QLD,RSV,2025-08-26,2025-08-28,2025-08-27
SA,RSV,2025-08-26,2025-08-28,2025-08-27
TAS,RSV,2025-08-22,2025-08-28,2025-08-27
VIC,RSV,2025-08-26,2025-08-28,2025-08-27
WA,RSV,2025-08-26,2025-08-28,2025-08-27
ACT,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
NSW,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
NT,SARSCOV2,2025-08-24,2025-08-28,2025-08-27
NZ,SARSCOV2,2025-08-21,2025-08-28,2025-08-24
QLD,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
SA,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
TAS,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
VIC,SARSCOV2,2025-08-26,2025-08-28,2025-08-27
WA,SARSCOV2,2025-08-15,2025-08-28,2025-08-27
ACT,flu,2025-08-26,2025-08-28,2025-08-27
NSW,flu,2025-08-26,2025-08-28,2025-08-27
NT,flu,2025-08-25,2025-08-28,2025-08-27
NZ,flu,NA,NA,NA
QLD,flu,2025-08-26,2025-08-28,2025-08-27
SA,flu,2025-08-26,2025-08-28,2025-08-27
TAS,flu,2025-08-26,2025-08-28,2025-08-27
VIC,flu,2025-08-26,2025-08-28,2025-08-27
WA,flu,2025-08-26,2025-08-28,2025-08-27
NZ,RSV_NZhosp,2025-08-17,2025-08-28,2025-08-21
NZ,SARSCOV2_NZhosp,2025-08-16,2025-08-28,2025-08-24
NZ,flu_NZhosp,2025-08-17,2025-08-28,2025-08-21
