location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-06-03,2025-06-05,2025-06-04
NSW,RSV,2025-06-03,2025-06-05,2025-06-04
NT,RSV,2025-05-30,2025-06-05,2025-06-04
NZ,RSV,NA,NA,NA
QLD,RSV,2025-06-03,2025-06-05,2025-06-04
TAS,RSV,2025-05-29,2025-06-05,2025-06-04
VIC,RSV,2025-06-03,2025-06-05,2025-06-04
WA,RSV,2025-06-03,2025-06-05,2025-06-04
ACT,SARSCOV2,2025-06-03,2025-06-05,2025-06-04
NSW,SARSCOV2,2025-06-03,2025-06-05,2025-06-04
NT,SARSCOV2,2025-05-30,2025-06-05,2025-06-04
NZ,SARSCOV2,2025-06-01,2025-06-05,2025-06-04
QLD,SARSCOV2,2025-06-03,2025-06-05,2025-06-04
TAS,SARSCOV2,2025-06-03,2025-06-05,2025-06-04
VIC,SARSCOV2,2025-06-03,2025-06-05,2025-06-04
WA,SARSCOV2,2025-05-25,2025-06-05,2025-06-04
ACT,flu,2025-06-03,2025-06-05,2025-06-04
NSW,flu,2025-06-03,2025-06-05,2025-06-04
NT,flu,2025-05-30,2025-06-05,2025-06-04
NZ,flu,NA,NA,NA
QLD,flu,2025-06-03,2025-06-05,2025-06-04
TAS,flu,2025-06-03,2025-06-05,2025-06-04
VIC,flu,2025-06-03,2025-06-05,2025-06-04
WA,flu,2025-06-03,2025-06-05,2025-06-04
NZ,SARSCOV2_NZhosp,2025-06-01,2025-06-05,2025-06-02
