location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-09-16,2025-09-18,2025-09-17
NSW,RSV,2025-09-16,2025-09-18,2025-09-17
NT,RSV,2025-09-15,2025-09-18,2025-09-17
NZ,RSV,NA,NA,NA
QLD,RSV,2025-09-16,2025-09-18,2025-09-17
SA,RSV,2025-09-16,2025-09-18,2025-09-17
TAS,RSV,2025-09-11,2025-09-18,2025-09-17
VIC,RSV,2025-09-16,2025-09-18,2025-09-17
WA,RSV,2025-09-16,2025-09-18,2025-09-17
ACT,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
NSW,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
NT,SARSCOV2,2025-09-15,2025-09-18,2025-09-17
NZ,SARSCOV2,2025-09-10,2025-09-18,2025-09-14
QLD,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
SA,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
TAS,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
VIC,SARSCOV2,2025-09-16,2025-09-18,2025-09-17
WA,SARSCOV2,2025-09-12,2025-09-18,2025-09-17
ACT,flu,2025-09-16,2025-09-18,2025-09-17
NSW,flu,2025-09-16,2025-09-18,2025-09-17
NT,flu,2025-09-15,2025-09-18,2025-09-17
NZ,flu,NA,NA,NA
QLD,flu,2025-09-16,2025-09-18,2025-09-17
SA,flu,2025-09-16,2025-09-18,2025-09-17
TAS,flu,2025-09-16,2025-09-18,2025-09-17
VIC,flu,2025-09-16,2025-09-18,2025-09-17
WA,flu,2025-09-16,2025-09-18,2025-09-17
NZ,RSV_NZhosp,2025-09-07,2025-09-18,2025-09-11
NZ,SARSCOV2_NZhosp,2025-09-04,2025-09-18,2025-09-14
NZ,flu_NZhosp,2025-09-07,2025-09-18,2025-09-11
