location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-09-09,2025-09-11,2025-09-10
NSW,RSV,2025-09-09,2025-09-11,2025-09-10
NT,RSV,2025-09-05,2025-09-11,2025-09-10
NZ,RSV,NA,NA,NA
QLD,RSV,2025-09-09,2025-09-11,2025-09-10
SA,RSV,2025-09-09,2025-09-11,2025-09-10
TAS,RSV,2025-09-04,2025-09-11,2025-09-10
VIC,RSV,2025-09-09,2025-09-11,2025-09-10
WA,RSV,2025-09-09,2025-09-11,2025-09-10
ACT,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
NSW,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
NT,SARSCOV2,2025-09-05,2025-09-11,2025-09-10
NZ,SARSCOV2,2025-09-04,2025-09-11,2025-09-07
QLD,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
SA,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
TAS,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
VIC,SARSCOV2,2025-09-09,2025-09-11,2025-09-10
WA,SARSCOV2,2025-09-04,2025-09-11,2025-09-10
ACT,flu,2025-09-09,2025-09-11,2025-09-10
NSW,flu,2025-09-09,2025-09-11,2025-09-10
NT,flu,2025-09-05,2025-09-11,2025-09-10
NZ,flu,NA,NA,NA
QLD,flu,2025-09-09,2025-09-11,2025-09-10
SA,flu,2025-09-09,2025-09-11,2025-09-10
TAS,flu,2025-09-09,2025-09-11,2025-09-10
VIC,flu,2025-09-09,2025-09-11,2025-09-10
WA,flu,2025-09-09,2025-09-11,2025-09-10
NZ,RSV_NZhosp,2025-08-31,2025-09-11,2025-09-04
NZ,SARSCOV2_NZhosp,2025-08-30,2025-09-11,2025-09-07
NZ,flu_NZhosp,2025-08-31,2025-09-11,2025-09-04
