location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-09-29,2025-10-02,2025-09-30
NSW,RSV,2025-09-29,2025-10-02,2025-09-30
NT,RSV,2025-09-26,2025-10-02,2025-09-30
NZ,RSV,NA,NA,NA
QLD,RSV,2025-09-29,2025-10-02,2025-09-30
SA,RSV,2025-09-29,2025-10-02,2025-09-30
TAS,RSV,2025-09-26,2025-10-02,2025-09-30
VIC,RSV,2025-09-30,2025-10-02,2025-10-01
WA,RSV,2025-09-28,2025-10-02,2025-09-30
ACT,SARSCOV2,2025-09-29,2025-10-02,2025-09-30
NSW,SARSCOV2,2025-09-29,2025-10-02,2025-09-30
NT,SARSCOV2,2025-09-26,2025-10-02,2025-09-30
NZ,SARSCOV2,2025-09-25,2025-10-02,2025-09-28
QLD,SARSCOV2,2025-09-29,2025-10-02,2025-09-30
SA,SARSCOV2,2025-09-29,2025-10-02,2025-09-30
TAS,SARSCOV2,2025-09-29,2025-10-02,2025-09-30
VIC,SARSCOV2,2025-09-30,2025-10-02,2025-10-01
WA,SARSCOV2,2025-09-18,2025-10-02,2025-09-30
ACT,flu,2025-09-29,2025-10-02,2025-09-30
NSW,flu,2025-09-29,2025-10-02,2025-09-30
NT,flu,2025-09-26,2025-10-02,2025-09-30
NZ,flu,NA,NA,NA
QLD,flu,2025-09-29,2025-10-02,2025-09-30
SA,flu,2025-09-29,2025-10-02,2025-09-30
TAS,flu,2025-09-29,2025-10-02,2025-09-30
VIC,flu,2025-09-30,2025-10-02,2025-10-01
WA,flu,2025-09-28,2025-10-02,2025-09-30
NZ,RSV_NZhosp,2025-09-21,2025-10-02,2025-09-25
NZ,SARSCOV2_NZhosp,2025-09-20,2025-10-02,2025-09-28
NZ,flu_NZhosp,2025-09-21,2025-10-02,2025-09-25
