location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-08-05,2025-08-07,2025-08-06
NSW,RSV,2025-08-05,2025-08-07,2025-08-06
NT,RSV,2025-08-01,2025-08-07,2025-08-06
NZ,RSV,NA,NA,NA
QLD,RSV,2025-08-05,2025-08-07,2025-08-06
SA,RSV,2025-08-05,2025-08-07,2025-08-06
TAS,RSV,2025-07-31,2025-08-07,2025-08-06
VIC,RSV,2025-08-05,2025-08-07,2025-08-06
WA,RSV,2025-08-05,2025-08-07,2025-08-06
ACT,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
NSW,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
NT,SARSCOV2,2025-08-01,2025-08-07,2025-08-06
NZ,SARSCOV2,2025-07-31,2025-08-07,2025-08-03
QLD,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
SA,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
TAS,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
VIC,SARSCOV2,2025-08-05,2025-08-07,2025-08-06
WA,SARSCOV2,2025-08-01,2025-08-07,2025-08-06
ACT,flu,2025-08-05,2025-08-07,2025-08-06
NSW,flu,2025-08-05,2025-08-07,2025-08-06
NT,flu,2025-08-01,2025-08-07,2025-08-06
NZ,flu,NA,NA,NA
QLD,flu,2025-08-05,2025-08-07,2025-08-06
SA,flu,2025-08-05,2025-08-07,2025-08-06
TAS,flu,2025-08-05,2025-08-07,2025-08-06
VIC,flu,2025-08-05,2025-08-07,2025-08-06
WA,flu,2025-08-05,2025-08-07,2025-08-06
NZ,RSV_NZhosp,2025-07-27,2025-08-07,2025-07-31
NZ,SARSCOV2_NZhosp,2025-07-25,2025-08-07,2025-08-03
NZ,flu_NZhosp,2025-07-27,2025-08-07,2025-07-31
