location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-08-12,2025-08-14,2025-08-13
NSW,RSV,2025-08-12,2025-08-14,2025-08-13
NT,RSV,2025-08-08,2025-08-14,2025-08-13
NZ,RSV,NA,NA,NA
QLD,RSV,2025-08-12,2025-08-14,2025-08-13
SA,RSV,2025-08-12,2025-08-14,2025-08-13
TAS,RSV,2025-08-08,2025-08-14,2025-08-13
VIC,RSV,2025-08-12,2025-08-14,2025-08-13
WA,RSV,2025-08-12,2025-08-14,2025-08-13
ACT,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
NSW,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
NT,SARSCOV2,2025-08-08,2025-08-14,2025-08-13
NZ,SARSCOV2,2025-08-07,2025-08-14,2025-08-10
QLD,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
SA,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
TAS,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
VIC,SARSCOV2,2025-08-12,2025-08-14,2025-08-13
WA,SARSCOV2,2025-08-08,2025-08-14,2025-08-13
ACT,flu,2025-08-12,2025-08-14,2025-08-13
NSW,flu,2025-08-12,2025-08-14,2025-08-13
NT,flu,2025-08-08,2025-08-14,2025-08-13
NZ,flu,NA,NA,NA
QLD,flu,2025-08-12,2025-08-14,2025-08-13
SA,flu,2025-08-12,2025-08-14,2025-08-13
TAS,flu,2025-08-11,2025-08-14,2025-08-13
VIC,flu,2025-08-12,2025-08-14,2025-08-13
WA,flu,2025-08-12,2025-08-14,2025-08-13
NZ,RSV_NZhosp,2025-08-03,2025-08-14,2025-08-07
NZ,SARSCOV2_NZhosp,2025-08-02,2025-08-14,2025-08-10
NZ,flu_NZhosp,2025-08-03,2025-08-14,2025-08-07
