location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-10-21,2025-10-23,2025-10-22
NSW,RSV,2025-10-21,2025-10-23,2025-10-22
NT,RSV,2025-10-17,2025-10-23,2025-10-22
NZ,RSV,NA,NA,NA
QLD,RSV,2025-10-21,2025-10-23,2025-10-22
SA,RSV,2025-10-21,2025-10-23,2025-10-22
TAS,RSV,2025-10-17,2025-10-23,2025-10-22
VIC,RSV,2025-10-21,2025-10-23,2025-10-22
WA,RSV,2025-10-20,2025-10-23,2025-10-22
ACT,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
NSW,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
NT,SARSCOV2,2025-10-17,2025-10-23,2025-10-22
NZ,SARSCOV2,2025-10-10,2025-10-23,2025-10-20
QLD,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
SA,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
TAS,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
VIC,SARSCOV2,2025-10-21,2025-10-23,2025-10-22
WA,SARSCOV2,2025-10-10,2025-10-23,2025-10-22
ACT,flu,2025-10-21,2025-10-23,2025-10-22
NSW,flu,2025-10-21,2025-10-23,2025-10-22
NT,flu,2025-10-17,2025-10-23,2025-10-22
NZ,flu,NA,NA,NA
QLD,flu,2025-10-21,2025-10-23,2025-10-22
SA,flu,2025-10-21,2025-10-23,2025-10-22
TAS,flu,2025-10-21,2025-10-23,2025-10-22
VIC,flu,2025-10-21,2025-10-23,2025-10-22
WA,flu,2025-10-20,2025-10-23,2025-10-22
NZ,RSV_NZhosp,2025-10-10,2025-10-23,2025-10-16
NZ,SARSCOV2_NZhosp,2025-10-04,2025-10-23,2025-10-20
NZ,flu_NZhosp,2025-10-12,2025-10-23,2025-10-16
