location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-06-17,2025-06-19,2025-06-18
NSW,RSV,2025-06-17,2025-06-19,2025-06-18
NT,RSV,2025-06-16,2025-06-19,2025-06-18
NZ,RSV,NA,NA,NA
QLD,RSV,2025-06-17,2025-06-19,2025-06-18
TAS,RSV,2025-06-12,2025-06-19,2025-06-18
VIC,RSV,2025-06-17,2025-06-19,2025-06-18
WA,RSV,2025-06-17,2025-06-19,2025-06-18
ACT,SARSCOV2,2025-06-17,2025-06-19,2025-06-18
NSW,SARSCOV2,2025-06-17,2025-06-19,2025-06-18
NT,SARSCOV2,2025-06-16,2025-06-19,2025-06-18
NZ,SARSCOV2,2025-06-08,2025-06-19,2025-06-09
QLD,SARSCOV2,2025-06-17,2025-06-19,2025-06-18
TAS,SARSCOV2,2025-06-17,2025-06-19,2025-06-18
VIC,SARSCOV2,2025-06-17,2025-06-19,2025-06-18
WA,SARSCOV2,2025-06-13,2025-06-19,2025-06-18
ACT,flu,2025-06-17,2025-06-19,2025-06-18
NSW,flu,2025-06-17,2025-06-19,2025-06-18
NT,flu,2025-06-16,2025-06-19,2025-06-18
NZ,flu,NA,NA,NA
QLD,flu,2025-06-17,2025-06-19,2025-06-18
TAS,flu,2025-06-17,2025-06-19,2025-06-18
VIC,flu,2025-06-17,2025-06-19,2025-06-18
WA,flu,2025-06-17,2025-06-19,2025-06-18
NZ,RSV_NZhosp,2025-06-01,2025-06-19,2025-06-09
NZ,SARSCOV2_NZhosp,2025-06-08,2025-06-19,2025-06-09
NZ,flu_NZhosp,2025-06-01,2025-06-19,2025-06-09
