"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location","pathogen"
2022-06-14,1,54.3159551788152,51.7944900302333,56.9145175568634,47.1802220186885,62.4783269711341,"NZ","Influenza"
2022-06-15,2,55.6325028064549,53.3527259185487,58.0011531274634,49.1495755698606,62.8724938163062,"NZ","Influenza"
2022-06-16,3,56.9868613077408,54.9626626487753,59.1378603073642,51.0337321258137,63.5409398929084,"NZ","Influenza"
2022-06-17,4,58.3898903281433,56.5267886443995,60.3594260046698,52.865516527388,64.3167461590296,"NZ","Influenza"
2022-06-18,5,59.8808453520427,58.1090646230781,61.7417230626052,54.7738833495011,65.3999240487409,"NZ","Influenza"
2022-06-19,6,61.4696399092436,59.7310223043302,63.226544905243,56.5557817872488,66.6764507651165,"NZ","Influenza"
2022-06-20,7,63.0984281772195,61.4375581409512,64.804230849076,58.4184907975245,68.1455255634491,"NZ","Influenza"
2022-06-21,8,64.8591658820801,63.1880226352482,66.4690744481771,60.2499869557409,69.8234420376599,"NZ","Influenza"
2022-06-22,9,66.6816885359439,65.0574542719019,68.2904397003573,62.1059651954836,71.7291587442995,"NZ","Influenza"
2022-06-23,10,68.6253876468078,67.0110450278995,70.2465074580309,63.9411965569575,73.7048050830642,"NZ","Influenza"
2022-06-24,11,70.6690315683615,69.035866583219,72.3374600222498,65.8660649358516,75.7907578938273,"NZ","Influenza"
2022-06-25,12,72.8570661836292,71.1771838153422,74.5311095960236,67.9592764709687,78.0230398136834,"NZ","Influenza"
2022-06-26,13,75.1511214400404,73.4911486942074,76.8874875554527,70.1303148850186,80.3839584645854,"NZ","Influenza"
2022-06-27,14,77.571156085673,75.8706894933877,79.3228811063097,72.4575621547844,82.9007620245002,"NZ","Influenza"
2022-06-28,15,80.0620619882813,78.3214222670899,81.8936831642441,74.877350523536,85.592715078199,"NZ","Influenza"
2022-06-29,16,82.6913475639123,80.8828015564079,84.5606394812519,77.3784307067335,88.3103601320779,"NZ","Influenza"
2022-06-30,17,85.4038076169927,83.5466068799126,87.2852980419307,80.0459898323056,91.0335211772386,"NZ","Influenza"
2022-07-01,18,88.19131928473,86.2938711000354,90.1631043511591,82.7692858563857,93.853268367609,"NZ","Influenza"
2022-07-02,19,91.017395229384,89.1094955003334,93.0688539716606,85.434120069059,96.7583043706819,"NZ","Influenza"
2022-07-03,20,93.9027992894329,91.9812900948084,95.9735871846499,88.2079098316865,99.7204236470123,"NZ","Influenza"
2022-07-04,21,96.813807788174,94.8619481111647,98.9054493889502,91.0124895566537,102.733722528094,"NZ","Influenza"
2022-07-05,22,99.7532794846222,97.7759135310793,101.870326561134,93.9120793987097,105.793911648465,"NZ","Influenza"
2022-07-06,23,102.650153693808,100.653601755025,104.793774150833,96.7182726152882,108.791868727773,"NZ","Influenza"
2022-07-07,24,105.496008765825,103.444768878238,107.640166647423,99.5151796375265,111.785833435695,"NZ","Influenza"
2022-07-08,25,108.231874992923,106.148426329053,110.460486532451,102.221244558732,114.681376305089,"NZ","Influenza"
2022-07-09,26,110.877482577371,108.743408580463,113.103281391559,104.799748229032,117.390743696869,"NZ","Influenza"
2022-07-10,27,113.361289265896,111.20386600524,115.60004449504,107.231625533788,120.00426013909,"NZ","Influenza"
2022-07-11,28,115.656234554488,113.481612006594,117.88563325513,109.477724819268,122.307695760122,"NZ","Influenza"
2022-07-12,29,117.69777580269,115.556883212732,119.954080483058,111.355274792393,124.456200712469,"NZ","Influenza"
2022-07-13,30,119.470822951327,117.281780782877,121.813279317572,113.072830297136,126.295478129323,"NZ","Influenza"
2022-07-14,31,120.976827234782,118.706772263857,123.320664243776,114.399240542804,127.851534918315,"NZ","Influenza"
2022-07-15,32,122.132021309638,119.837068996485,124.48741649443,115.473261242736,129.047127484207,"NZ","Influenza"
2022-07-16,33,122.970701655053,120.67737495109,125.27946094204,116.285626300403,129.842868836539,"NZ","Influenza"
2022-07-17,34,123.404674248311,121.122129754497,125.718543916525,116.672733132362,130.417540535383,"NZ","Influenza"
2022-07-18,35,123.511861376905,121.226341605068,125.849158073221,116.719175465186,130.549615059313,"NZ","Influenza"
2022-07-19,36,123.267802240899,120.968044992997,125.588904409402,116.502194829079,130.313967096148,"NZ","Influenza"
2022-07-20,37,122.710152467913,120.424261605881,125.024452355575,115.944091785737,129.648763867254,"NZ","Influenza"
2022-07-21,38,121.805615482857,119.54354495901,124.106078749922,115.159845857267,128.785882865913,"NZ","Influenza"
2022-07-22,39,120.61101849905,118.339923626272,122.864477254257,113.969155086818,127.583751915301,"NZ","Influenza"
2022-07-23,40,119.097956445625,116.853811346275,121.364682983977,112.534672393892,126.017409130395,"NZ","Influenza"
2022-07-24,41,117.329796556407,115.114320222713,119.622734144028,110.801006214939,124.327585695557,"NZ","Influenza"
2022-07-25,42,115.348245482487,113.125367458163,117.632489854525,108.88085492311,122.147865074454,"NZ","Influenza"
2022-07-26,43,113.127110089679,110.916829658125,115.386771483267,106.796685800273,119.893442707862,"NZ","Influenza"
2022-07-27,44,110.748580584861,108.563236060153,112.94894482794,104.381239444252,117.313919704348,"NZ","Influenza"
2022-07-28,45,108.180757306732,106.002366296433,110.33974861604,101.872017378258,114.692875299568,"NZ","Influenza"
2022-07-29,46,105.455375391762,103.290791952568,107.595125502811,99.2093175544917,111.85662083337,"NZ","Influenza"
2022-07-30,47,102.611191218543,100.532262036516,104.727334252505,96.5733657955742,108.97514239758,"NZ","Influenza"
2022-07-31,48,99.6696894425667,97.6810789598875,101.772792223901,93.7553093802393,105.924112086365,"NZ","Influenza"
2022-08-01,49,96.7067104292994,94.7556574015423,98.7014720286336,90.874913042408,102.865742473617,"NZ","Influenza"
2022-08-02,50,93.6821274475773,91.8256112232596,95.6719669787464,87.9963060977486,99.6758796309288,"NZ","Influenza"
2022-08-03,51,90.7125665111833,88.8625662203647,92.6224174488428,85.2012060437175,96.5336714083749,"NZ","Influenza"
2022-08-04,52,87.7217347713917,85.9188984404874,89.5399724430387,82.3355118145238,93.4195020318147,"NZ","Influenza"
2022-08-05,53,84.7948154055296,83.0002661795519,86.5463712633157,79.5460419527493,90.2861108667478,"NZ","Influenza"
2022-08-06,54,81.9140271840796,80.1619963341385,83.6479331643669,76.7434677144347,87.2095190224594,"NZ","Influenza"
2022-08-07,55,79.1069238453292,77.3626076168425,80.8458929139097,74.0734784574173,84.2848529079541,"NZ","Influenza"
2022-08-08,56,76.4394272347446,74.7062199780836,78.1398629869826,71.4100497006724,81.5086387322879,"NZ","Influenza"
2022-08-09,57,73.8461955827237,72.1803954276363,75.5275562206432,68.951846760259,78.7920460295222,"NZ","Influenza"
2022-08-10,58,71.3718690076956,69.7473135303444,72.9991394021186,66.5908093853027,76.1920698063466,"NZ","Influenza"
2022-08-11,59,69.0018026809205,67.3852569482678,70.6179619105415,64.3396866289258,73.6998032811015,"NZ","Influenza"
2022-08-12,60,66.7138441747847,65.133423269221,68.31668680923,62.1636756359291,71.3960919723533,"NZ","Influenza"
2022-08-13,61,64.5317859463732,62.9800838551716,66.0898832795855,60.102194861163,69.1320891190566,"NZ","Influenza"
2022-08-14,62,62.4345542806408,60.9160492985278,63.9317943578584,58.1402265600367,66.9592972766148,"NZ","Influenza"
2022-08-15,63,60.3904274233499,58.9025636678249,61.8544093204958,56.1810791658595,64.7910654096139,"NZ","Influenza"
2022-08-16,64,58.4272518686229,56.9628140944806,59.8416250722758,54.2527900453284,62.7694238783589,"NZ","Influenza"
2022-08-17,65,56.5031171497917,55.0789337000361,57.9133425608924,52.401932984946,60.7536494236887,"NZ","Influenza"
2022-08-18,66,54.6223760008985,53.2521376443964,56.0125991062516,50.6327355216364,58.8153151896917,"NZ","Influenza"
2022-08-19,67,52.8167940446851,51.449311731911,54.1602524194966,48.9744452456021,56.9376044945207,"NZ","Influenza"
2022-08-20,68,51.0439373141507,49.7112651658055,52.3652222158113,47.2611265854404,55.0120194605526,"NZ","Influenza"
2022-08-21,69,49.3346545017937,48.0285963886314,50.6189712452935,45.6572480586876,53.2029562413898,"NZ","Influenza"
2022-08-22,70,47.6689996799669,46.4031070922108,48.9122569779596,44.0870875797458,51.4488166042125,"NZ","Influenza"
2022-08-23,71,46.0603286693927,44.8319031628662,47.2904193934893,42.5822320511418,49.7677877132081,"NZ","Influenza"
2022-08-24,72,44.522525695386,43.3172602454952,45.7251803264458,41.1232863408629,48.2038799077012,"NZ","Influenza"
2022-08-25,73,43.0605861135365,41.8831158349537,44.2319584553123,39.7237217746205,46.6721875074691,"NZ","Influenza"
2022-08-26,74,41.6534283038898,40.5012166023563,42.8122696882479,38.4024225387246,45.2024592580887,"NZ","Influenza"
2022-08-27,75,40.3212948361246,39.2086350879983,41.4571038827102,37.1498558752611,43.8304147196455,"NZ","Influenza"
2022-08-28,76,39.0598658619974,37.9813778587968,40.1762017480264,35.945985008137,42.5212270965693,"NZ","Influenza"
2022-08-29,77,37.8659761191469,36.8113469181192,38.9445309388697,34.7990296761055,41.2054124371581,"NZ","Influenza"
2022-08-30,78,36.7399069958864,35.7089094263604,37.780192750233,33.7650940557257,40.0051860911075,"NZ","Influenza"
2022-08-31,79,35.6745461648437,34.6621384204213,36.6903876232205,32.7124347224251,38.8830151265185,"NZ","Influenza"
2022-09-01,80,34.6557245686901,33.6592198216095,35.6744106363623,31.7224734336336,37.8007641488084,"NZ","Influenza"
2022-09-02,81,33.6828079657053,32.6963410714674,34.6911348117643,30.794762021153,36.7910850127167,"NZ","Influenza"
2022-09-03,82,32.7442123612394,31.7877417336323,33.7529682326353,29.899872042071,35.8141053214,"NZ","Influenza"
