"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2022-06-15,2,0.0132927485891026,0.00551601295369242,0.0213176065384582,-0.0108324442266411,0.0355413018678984,0.863,"NZ"
2022-06-16,3,0.0143582187038076,0.00725629696197894,0.0216540366376183,-0.00728565175881308,0.0344047394291579,0.903125,"NZ"
2022-06-17,4,0.0160465929828235,0.00965666813585209,0.0226903671677092,-0.0031530770505239,0.0343356952517994,0.949625,"NZ"
2022-06-18,5,0.0185714948848759,0.012954934202619,0.0243083532202546,0.00181145421933298,0.0350536095975604,0.984625,"NZ"
2022-06-19,6,0.0218468092069579,0.0169331926196732,0.0267802981564589,0.00763895500822707,0.0359951445142453,0.999125,"NZ"
2022-06-20,7,0.0257783969827572,0.0214352979359589,0.0300678178321592,0.0137139207007188,0.0380206304160951,1,"NZ"
2022-06-21,8,0.0297434441058817,0.0257838313497567,0.0336511244101612,0.018705357200636,0.0409607020235182,1,"NZ"
2022-06-22,9,0.0337717077939161,0.0299655122582025,0.0373328136796487,0.0233889777597586,0.0443469160389801,1,"NZ"
2022-06-23,10,0.0376200505083597,0.034128792447121,0.040939212023247,0.028042897218008,0.0475914885910355,1,"NZ"
2022-06-24,11,0.0413569395774398,0.038382663004997,0.0445285015329733,0.0325832618047567,0.0507329075800454,1,"NZ"
2022-06-25,12,0.0449967149204138,0.0419307156021629,0.0481365502444921,0.0360883708750629,0.0545219558117875,1,"NZ"
2022-06-26,13,0.0475931438570099,0.0443117518457059,0.0510301398176929,0.0382930362936706,0.057767809227719,1,"NZ"
2022-06-27,14,0.0490638364168734,0.0455821065070552,0.0524969060348786,0.0393566701483887,0.0594883193918368,1,"NZ"
2022-06-28,15,0.049312617890573,0.0459207340020977,0.05257584914827,0.0400370025092823,0.0592967566745348,1,"NZ"
2022-06-29,16,0.0483022844991177,0.0452784149144367,0.0513410635175897,0.0397773734878227,0.0575851550733845,1,"NZ"
2022-06-30,17,0.0463121900408652,0.0433853878810977,0.0492280829389471,0.0381689133230492,0.0551864146637043,1,"NZ"
2022-07-01,18,0.0438792778061079,0.0407496971132626,0.0469230238844136,0.0352736122994265,0.0530081731931814,1,"NZ"
2022-07-02,19,0.0411017845838706,0.0380052092200378,0.0442614648031805,0.0321397193663368,0.0503802142304212,1,"NZ"
2022-07-03,20,0.0380373834487808,0.0350958416015548,0.0410892903808655,0.029373514465752,0.0471201336165965,1,"NZ"
2022-07-04,21,0.0347250508402248,0.0320023284685749,0.0375671610958113,0.0265693840256227,0.0429163914336035,1,"NZ"
2022-07-05,22,0.0312308482404071,0.0283719778624758,0.0339296689049449,0.022926889253786,0.0389944553760906,1,"NZ"
2022-07-06,23,0.0276166907417839,0.024594947676192,0.030591739025652,0.0188726500924602,0.0360088978666369,1,"NZ"
2022-07-07,24,0.0241315563462181,0.0210605992914508,0.0272078260975814,0.0150505947819443,0.0329908395208831,1,"NZ"
2022-07-08,25,0.0207351013255308,0.0177998410161961,0.0236895310377112,0.0119099357272944,0.0292167281915581,1,"NZ"
2022-07-09,26,0.0173682408283602,0.0147353170158842,0.0200636584360441,0.00957076500055853,0.025178083661731,1,"NZ"
2022-07-10,27,0.01424817001101,0.0115540736564999,0.0169320164740785,0.00641734125372197,0.0220270457750528,0.99975,"NZ"
2022-07-11,28,0.0113946148859747,0.00851773505521014,0.0142860797892295,0.00290056393314893,0.0196933763969173,0.995125,"NZ"
2022-07-12,29,0.0089351307878891,0.00593673831668928,0.0119729780503102,-0.000132582333407827,0.0174546497808458,0.97425,"NZ"
2022-07-13,30,0.00685150692419079,0.00401627531176407,0.00975893263549454,-0.00168935983544776,0.0150252000193217,0.941875,"NZ"
2022-07-14,31,0.00509255723707458,0.00241879155483371,0.00773277371064252,-0.00250996942923094,0.0127699502797157,0.900875,"NZ"
2022-07-15,32,0.00358932809443457,0.00100893483155651,0.00617903465536584,-0.0037763476672414,0.011180107350513,0.8255,"NZ"
2022-07-16,33,0.00201156566478256,-0.000778181592196336,0.00481026381960103,-0.00605249895471489,0.010342413464547,0.686375,"NZ"
