"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2022-07-06,2,0.0062198679174772,0.000216272731881073,0.0122592883056702,-0.0119784640188457,0.0240601549425965,0.757,"NZ"
2022-07-07,3,0.0061862580356844,0.000737632539356214,0.0114849191399853,-0.00981551563750087,0.0218070675279494,0.7805,"NZ"
2022-07-08,4,0.00620262050895182,0.00138050231538678,0.0108391401667272,-0.00778605675872284,0.0200072248414998,0.80575,"NZ"
2022-07-09,5,0.00613166379707053,0.00192469073496215,0.0100596157843842,-0.00596573658921653,0.0179218643892246,0.839375,"NZ"
2022-07-10,6,0.00606839551711902,0.00256964465873599,0.00937161938139197,-0.00389203110037377,0.0158414368638676,0.885625,"NZ"
2022-07-11,7,0.0059514388646229,0.00291679176723036,0.00890879714091852,-0.0028085504486451,0.0146949004341357,0.911,"NZ"
2022-07-12,8,0.00574190523253915,0.0028109410478121,0.00851373156502788,-0.00282286712089959,0.0141967243706712,0.906625,"NZ"
2022-07-13,9,0.0053182362909272,0.00239417137494424,0.00809984950902853,-0.00314816590303002,0.0138306640305814,0.89375,"NZ"
2022-07-14,10,0.00468170600004036,0.00188593679459226,0.00741071699779483,-0.0033320522036679,0.012713148732251,0.876,"NZ"
2022-07-15,11,0.00391544222419205,0.00125330642256971,0.00636142564107134,-0.00338597549888342,0.0113257466389655,0.8515,"NZ"
2022-07-16,12,0.00284686412543733,0.000320221072868998,0.0053811613735808,-0.00442430031252503,0.0102789722483362,0.776125,"NZ"
2022-07-17,13,0.00144887155767037,-0.0012605883036696,0.0041266987459736,-0.00648689681617371,0.00939897677998174,0.63725,"NZ"
2022-07-18,14,-0.000441718777088429,-0.00321502666672124,0.00235045798339617,-0.00867174584935102,0.00789314664785112,0.456,"NZ"
2022-07-19,15,-0.00276602041417995,-0.00541242435526601,2.07356481629617e-05,-0.010742883446005,0.00526075176893732,0.251625,"NZ"
2022-07-20,16,-0.00548253074189731,-0.00798934907858828,-0.00297082484477262,-0.0128689031273281,0.00191387667918736,0.07175,"NZ"
2022-07-21,17,-0.00863111593654908,-0.0111022450434513,-0.0060781054057466,-0.0157802201097382,-0.00123791267197755,0.0115,"NZ"
2022-07-22,18,-0.0118940870316364,-0.0146506873471846,-0.00917897937409617,-0.0196118094193644,-0.00383934522349752,0.001375,"NZ"
2022-07-23,19,-0.0152815525093621,-0.0181358727259715,-0.0124845175703809,-0.023388919448512,-0.00716981277453251,0.000125,"NZ"
2022-07-24,20,-0.0188282951821979,-0.0214798551900937,-0.016137686832961,-0.0267278719496092,-0.0110104207002372,0,"NZ"
2022-07-25,21,-0.0224306451284244,-0.0249356061974382,-0.0199387551211985,-0.0297740524191863,-0.0152774634442052,0,"NZ"
2022-07-26,22,-0.0260561621916162,-0.0286149711117625,-0.0234814667234411,-0.0337331572881911,-0.0188346188619161,0,"NZ"
2022-07-27,23,-0.0292928085734077,-0.032046691141008,-0.0264899139534509,-0.0375874798789219,-0.0213830055142168,0,"NZ"
2022-07-28,24,-0.0319639136970915,-0.0348469510816534,-0.0290279329321699,-0.0406857908860546,-0.0235102895331146,0,"NZ"
2022-07-29,25,-0.0339832972394452,-0.0368083703380708,-0.0312084189463961,-0.0425897376070835,-0.0258853894219482,0,"NZ"
2022-07-30,26,-0.0355786992518778,-0.038223366280328,-0.0328943914907476,-0.0435898111161957,-0.0279937461085341,0,"NZ"
2022-07-31,27,-0.0365517437708585,-0.0392548248493922,-0.0338265801247275,-0.0445589424318382,-0.028885395163219,0,"NZ"
