"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location"
2022-08-09,1,414.410350490001,402.062882305702,426.991058982724,378.150430195612,451.709108230973,"NZ"
2022-08-10,2,397.050172065276,386.348113272822,407.377746305325,366.772674759474,427.170909809236,"NZ"
2022-08-11,3,355.481593101732,347.197624582662,364.017622292514,331.932558275239,380.213369987081,"NZ"
2022-08-12,4,348.827394738569,341.288441739129,356.078112526689,327.312750229814,371.250295396303,"NZ"
2022-08-13,5,259.74108533163,254.214394275449,265.256399937791,243.989640100848,275.902150923332,"NZ"
2022-08-14,6,246.726736827698,241.686462734636,251.77506331971,232.069265160312,262.081210404324,"NZ"
2022-08-15,7,338.286423573501,331.657288129384,345.052484371791,319.270349357224,358.289631332835,"NZ"
2022-08-16,8,343.465893819182,336.815560872257,350.195658298428,324.061396922752,363.317778512164,"NZ"
2022-08-17,9,328.51855588995,321.874114295076,334.959591517301,309.758886566627,347.186849384085,"NZ"
2022-08-18,10,293.570125851521,287.629690801198,299.492732895255,276.52715989791,311.191755982615,"NZ"
2022-08-19,11,286.986812687735,281.183758998969,292.826274730382,269.939053363415,304.130158929278,"NZ"
2022-08-20,12,212.782278277134,208.341458982088,217.420861970907,199.9380074685,226.254889173672,"NZ"
2022-08-21,13,201.116921404128,196.858171403596,205.450924806837,189.053390961554,214.290740261265,"NZ"
2022-08-22,14,274.304653826404,268.603134651356,280.046471697805,258.074419220608,291.69862464526,"NZ"
2022-08-23,15,277.112964148226,271.240840604277,282.944230058913,260.556850680868,294.42914703119,"NZ"
2022-08-24,16,263.726326986964,258.074061366598,269.566126455747,247.523627189623,280.514193731851,"NZ"
2022-08-25,17,234.936467434864,229.990367465586,239.778405205686,220.42948137067,250.147906732313,"NZ"
2022-08-26,18,229.106229580728,224.369360174995,233.959809094218,215.268328689999,243.723384381011,"NZ"
2022-08-27,19,169.798852858306,166.076733892401,173.736901968739,159.164563139362,180.815302194975,"NZ"
2022-08-28,20,160.551192487867,157.06807428526,164.313806712543,150.475359262848,171.423205156713,"NZ"
2022-08-29,21,219.481494211395,214.637174580478,224.464085598978,205.716196711254,234.051123688504,"NZ"
2022-08-30,22,222.261519217843,217.270871710952,227.171780359294,208.081569051953,237.294898570586,"NZ"
2022-08-31,23,212.165647392259,207.247210598686,216.921566919941,198.297374317864,226.356199558707,"NZ"
2022-09-01,24,189.298396312711,184.802925891041,193.672710585818,176.874587983922,202.216227468917,"NZ"
2022-09-02,25,184.753295985481,180.510409339369,189.085574768652,172.65222785313,197.647075241013,"NZ"
2022-09-03,26,136.799841448014,133.472476359514,140.174116614748,127.297215125908,146.810819905415,"NZ"
2022-09-04,27,128.950346045396,125.880651708293,132.193245013744,120.12669774745,138.534925163827,"NZ"
2022-09-05,28,175.222972553374,171.117878451852,179.733355776378,163.659563803948,188.2752582198,"NZ"
2022-09-06,29,176.090060210902,171.890843864562,180.583896459944,164.174758422811,189.392313498759,"NZ"
2022-09-07,30,166.407641502627,162.35344266071,170.722939171955,154.915367981553,179.123831020309,"NZ"
2022-09-08,31,146.726253131838,143.135243805319,150.588891556867,136.377456243471,158.180695696649,"NZ"
2022-09-09,32,141.402342122284,137.893240168216,145.084473856962,131.407506082108,152.492242925687,"NZ"
2022-09-10,33,103.261009639101,100.576667538958,106.007679262856,95.6044198707133,111.541641719518,"NZ"
2022-09-11,34,96.0079718016504,93.5904554229688,98.6003979798755,88.8771831229154,103.822194496956,"NZ"
2022-09-12,35,128.809469508132,125.545958024594,132.1424424985,119.277361438192,139.257036945559,"NZ"
2022-09-13,36,127.971986682915,124.672275137959,131.368325969273,118.498976881267,138.148338819343,"NZ"
2022-09-14,37,119.707124329608,116.674124857759,123.026991610967,110.851335577292,129.624149108778,"NZ"
2022-09-15,38,105.017534465836,102.229702169147,107.926463908472,97.089419903964,113.949658005779,"NZ"
2022-09-16,39,100.920518102288,98.1936937759261,103.75508991133,92.9948342871955,109.465314857003,"NZ"
2022-09-17,40,73.7702310914993,71.7112203317642,75.9123365074197,67.8107031807194,80.1417126749985,"NZ"
2022-09-18,41,68.9863913419176,66.9875143324948,71.018895087435,63.2358100747551,75.1020666067411,"NZ"
2022-09-19,42,93.337556279718,90.6697856141268,95.9947532050957,85.6894370755828,101.655186212974,"NZ"
2022-09-20,43,93.820622816666,91.1437872424925,96.6316240059776,85.9842836574928,102.202553036205,"NZ"
2022-09-21,44,89.1744698199952,86.5642166648406,91.8995058952253,81.7529845335882,97.3968438134439,"NZ"
2022-09-22,45,79.6787722238404,77.1875758468694,82.1929306599956,72.7378313888815,87.0880308974258,"NZ"
2022-09-23,46,78.1084912949285,75.7761788615367,80.656797248863,71.3011744830604,85.3848033782077,"NZ"
2022-09-24,47,58.446931906283,56.5994955426594,60.3406821372774,53.1848992711928,63.9453346531914,"NZ"
2022-09-25,48,56.0468603407201,54.2125330877393,57.8198762766995,50.9876693057166,61.3370701906792,"NZ"
2022-09-26,49,77.877252648642,75.4171394605224,80.3313277707737,70.7633179631366,85.2777043772843,"NZ"
2022-09-27,50,80.5387317417774,78.0225345355117,83.063590874686,73.1048450094255,88.0084782866069,"NZ"
2022-09-28,51,78.8335124059832,76.289104077359,81.3490486432427,71.5735605908058,86.13282472698,"NZ"
2022-09-29,52,72.5273009452627,70.2176503932956,74.8335204217759,65.8154902602992,79.1833279531142,"NZ"
2022-09-30,53,73.3089430879335,71.0802195728397,75.6658124015784,66.7798952165201,80.0945207726125,"NZ"
2022-10-01,54,56.5673807045535,54.8083347821897,58.384423437385,51.4803040789011,61.9759862015507,"NZ"
2022-10-02,55,55.8873173769881,54.1543839829092,57.7213416554553,50.8651007199434,61.2562618768321,"NZ"
2022-10-03,56,80.0748923603342,77.5297944226884,82.6039963983765,73.0251968128056,87.5058646623642,"NZ"
2022-10-04,57,85.2888943066456,82.690599846288,87.9434789451878,78.0389691186212,92.9665026686188,"NZ"
2022-10-05,58,85.878330303591,83.2549712956681,88.4865974974401,78.4060510251423,93.6098889208994,"NZ"
2022-10-06,59,81.1668623400751,78.6741890610341,83.5178621132753,74.2346713639444,88.3514502414556,"NZ"
2022-10-07,60,84.061832721722,81.5877676143491,86.546535852782,76.9946050860879,91.4412992313456,"NZ"
2022-10-08,61,66.268586059016,64.2871487208765,68.2705074201357,60.698609231177,72.3737480922948,"NZ"
