"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location","pathogen"
2022-09-14,2,-0.000978706383799821,-0.00972245393935944,0.00783600171633225,-0.0274987407649596,0.0237300692166801,0.46975,"NZ","SARSCOV2"
2022-09-15,3,-0.000718619389483255,-0.0090086025009074,0.0076607173448241,-0.0257966290424562,0.022879410297756,0.473875,"NZ","SARSCOV2"
2022-09-16,4,-0.000532293888890534,-0.00828215147635158,0.00739996275145949,-0.0238172861910732,0.0220337082946103,0.482375,"NZ","SARSCOV2"
2022-09-17,5,-0.000170196557409685,-0.00762276523988614,0.00716307767924729,-0.0219457603846281,0.0208964643045151,0.493,"NZ","SARSCOV2"
2022-09-18,6,0.000126415071585617,-0.0067344650342438,0.00691522367226283,-0.0196625946026061,0.0195863560164387,0.503375,"NZ","SARSCOV2"
2022-09-19,7,0.000583795213198623,-0.00583301766603461,0.00683473755816844,-0.0181067462967145,0.0186756585424741,0.5245,"NZ","SARSCOV2"
2022-09-20,8,0.00111760130844796,-0.00493862104063214,0.00703742057655787,-0.0166921633221661,0.0183701972144258,0.548625,"NZ","SARSCOV2"
2022-09-21,9,0.00179678964759078,-0.00399517734699906,0.0073256254106473,-0.015062300978541,0.018190645161607,0.58325,"NZ","SARSCOV2"
2022-09-22,10,0.00263850885884764,-0.00286348926979574,0.00784338486564617,-0.0131919688838346,0.0180714361001875,0.63075,"NZ","SARSCOV2"
2022-09-23,11,0.00356543864150627,-0.00149681558719994,0.0084350636759386,-0.0110804594227733,0.0179449018783382,0.681,"NZ","SARSCOV2"
2022-09-24,12,0.00466147585274101,-9.05021253730931e-05,0.00926659229755655,-0.00954912026090009,0.0183459332952346,0.745,"NZ","SARSCOV2"
2022-09-25,13,0.00598494051479448,0.0013969632641283,0.0105624780098375,-0.00767832861185876,0.0192429035597959,0.8085,"NZ","SARSCOV2"
2022-09-26,14,0.00761669606698967,0.00310403639018786,0.012167343200436,-0.00545094271738241,0.020280339819613,0.8685,"NZ","SARSCOV2"
2022-09-27,15,0.0096020564080086,0.00519054301641553,0.0138740626878318,-0.00301301339572766,0.0216900545045462,0.93025,"NZ","SARSCOV2"
2022-09-28,16,0.0118529587363709,0.00766242042904497,0.015868661453865,-9.31091830816854e-05,0.0233648782920952,0.974125,"NZ","SARSCOV2"
2022-09-29,17,0.0143002117057827,0.0102630172003069,0.0181544048584517,0.00255562037826329,0.0256684484168983,0.99175,"NZ","SARSCOV2"
2022-09-30,18,0.016787741504471,0.0128071327222608,0.0206193941612693,0.00498050717999963,0.0283746820984594,0.99775,"NZ","SARSCOV2"
2022-10-01,19,0.0192986788793421,0.015367700689461,0.0231874579478958,0.00742071835892698,0.0310496970030621,0.999625,"NZ","SARSCOV2"
2022-10-02,20,0.0217899804411728,0.0179820244610592,0.025606679287557,0.0102627299909271,0.0334807545806909,1,"NZ","SARSCOV2"
2022-10-03,21,0.0242806797635751,0.0206162995374624,0.0280834284303039,0.0133246052958361,0.0355228317742685,1,"NZ","SARSCOV2"
2022-10-04,22,0.0267565504379621,0.0231171140486492,0.0305836421041862,0.0160965487438159,0.0381988152467707,1,"NZ","SARSCOV2"
2022-10-05,23,0.0290112549933661,0.0251616684977217,0.0330033315344868,0.0183145404870313,0.040885192987915,1,"NZ","SARSCOV2"
2022-10-06,24,0.0309230798121924,0.0270082488447407,0.0349908836497228,0.0200933212257268,0.042904964074614,1,"NZ","SARSCOV2"
2022-10-07,25,0.0325690377674397,0.0288074528906267,0.0365484936582527,0.0217463868961788,0.0445420412459247,1,"NZ","SARSCOV2"
