"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location","pathogen"
2022-08-09,1,71.8854277170113,68.7899680063657,75.1217491148166,63.2569576451873,81.3183162624661,"NZ","SARS-CoV-2"
2022-08-10,2,69.8383488621203,67.2109329477783,72.6133995992499,62.4203179245147,77.9114233011263,"NZ","SARS-CoV-2"
2022-08-11,3,67.8826713617497,65.6000144780518,70.2380152931151,61.3520083665134,74.7168968648164,"NZ","SARS-CoV-2"
2022-08-12,4,65.9160694566449,63.9072700157266,67.9589912918332,60.2599523677456,71.867496654811,"NZ","SARS-CoV-2"
2022-08-13,5,63.9983273746362,62.2435967015745,65.8315943226951,58.9342591411434,69.3500879107842,"NZ","SARS-CoV-2"
2022-08-14,6,62.0922946891008,60.4535970883514,63.7349991122457,57.4280418169527,67.0697922695056,"NZ","SARS-CoV-2"
2022-08-15,7,60.2080018758637,58.6862280320417,61.8037021588367,55.7270327789053,64.8767539039975,"NZ","SARS-CoV-2"
2022-08-16,8,58.3423115119254,56.9172490658792,59.8743134268981,54.0643391168122,62.8297049673123,"NZ","SARS-CoV-2"
2022-08-17,9,56.5040899976033,55.140568764013,58.0157619510472,52.4239173515742,60.8669329751047,"NZ","SARS-CoV-2"
2022-08-18,10,54.7077867419374,53.3889762012516,56.1672423872771,50.7042425917906,58.9694360786252,"NZ","SARS-CoV-2"
2022-08-19,11,52.9584345599447,51.6338061145087,54.3879361982553,49.040481338678,57.15029792111,"NZ","SARS-CoV-2"
2022-08-20,12,51.231958942046,49.9194813260929,52.6285969772942,47.3619954784073,55.2736546055129,"NZ","SARS-CoV-2"
2022-08-21,13,49.5315149890691,48.243778504216,50.8901102615793,45.7901601264311,53.4671028549061,"NZ","SARS-CoV-2"
2022-08-22,14,47.8923504135906,46.6060220654316,49.1946635583347,44.2223593597544,51.7212552863014,"NZ","SARS-CoV-2"
2022-08-23,15,46.2833389929789,45.0413676212838,47.5496847382718,42.7000043519784,50.0766185431292,"NZ","SARS-CoV-2"
2022-08-24,16,44.7555884817703,43.523699086884,45.9797597550439,41.2606698729522,48.4400817723756,"NZ","SARS-CoV-2"
2022-08-25,17,43.2637832238923,42.0887816029739,44.4657591360806,39.8998420573485,46.8316444603027,"NZ","SARS-CoV-2"
2022-08-26,18,41.8614834331063,40.7070078068155,43.0214000949924,38.6204299369566,45.3064307925994,"NZ","SARS-CoV-2"
2022-08-27,19,40.5136784059257,39.3960061389607,41.6413091714239,37.3728913413311,43.8964230325097,"NZ","SARS-CoV-2"
2022-08-28,20,39.2357346542383,38.1268320514754,40.3329483607723,36.1358186644176,42.5296889910766,"NZ","SARS-CoV-2"
2022-08-29,21,38.0060252144711,36.9281306558432,39.0942241709945,34.9983207194053,41.282172820893,"NZ","SARS-CoV-2"
2022-08-30,22,36.8484768194946,35.8037714724899,37.9140140888939,33.9489823219542,40.067398795125,"NZ","SARS-CoV-2"
2022-08-31,23,35.756363624009,34.7429725616164,36.8038619782589,32.949093710056,38.8791717521997,"NZ","SARS-CoV-2"
2022-09-01,24,34.7155993657036,33.7220758141222,35.7470195244694,31.9300074032158,37.7933997118738,"NZ","SARS-CoV-2"
2022-09-02,25,33.7169660444085,32.7365490756038,34.7628401181023,31.0349661906337,36.7430586525201,"NZ","SARS-CoV-2"
2022-09-03,26,32.7765886406016,31.8164854167294,33.7936998015137,30.1278191545111,35.7493118741625,"NZ","SARS-CoV-2"
2022-09-04,27,31.8778381690886,30.9398680774795,32.8849069071535,29.2718564036096,34.7968317522824,"NZ","SARS-CoV-2"
2022-09-05,28,31.0269148911621,30.1089028991841,31.9931325308025,28.4695405420964,33.8616154539489,"NZ","SARS-CoV-2"
2022-09-06,29,30.2217377551551,29.312368303571,31.1588719666573,27.6737512643897,32.9971931346239,"NZ","SARS-CoV-2"
2022-09-07,30,29.4402757843209,28.5429321514456,30.370131184552,26.91070325151,32.1727605758741,"NZ","SARS-CoV-2"
2022-09-08,31,28.6888727972317,27.818342043753,29.6087381506721,26.2362475351081,31.3746348621624,"NZ","SARS-CoV-2"
2022-09-09,32,27.9784376188044,27.1320577256086,28.889220880393,25.5537229985197,30.6366923195061,"NZ","SARS-CoV-2"
2022-09-10,33,27.311902214437,26.4634226255096,28.20060557565,24.9067180415543,29.9060704640086,"NZ","SARS-CoV-2"
2022-09-11,34,26.6804323051914,25.8572911936139,27.5484612546946,24.280227860186,29.2427355201447,"NZ","SARS-CoV-2"
2022-09-12,35,26.0833092566357,25.2770758986214,26.934234558031,23.7428311405646,28.599862481247,"NZ","SARS-CoV-2"
2022-09-13,36,25.534007629803,24.7376036720451,26.3740195170733,23.2378392325011,27.9824198612664,"NZ","SARS-CoV-2"
2022-09-14,37,25.0214279515558,24.2415637673783,25.844074796556,22.7540663086598,27.4191285322265,"NZ","SARS-CoV-2"
2022-09-15,38,24.5656695734462,23.786701739407,25.3585540163406,22.3187555621479,26.8996957751041,"NZ","SARS-CoV-2"
2022-09-16,39,24.1411109435186,23.3557484154101,24.9315496869742,21.8904112198638,26.4735007774441,"NZ","SARS-CoV-2"
2022-09-17,40,23.7622493667068,22.9798566856289,24.5356132811087,21.554331170196,26.0807692595882,"NZ","SARS-CoV-2"
2022-09-18,41,23.4243756097943,22.6474900773815,24.1967375379584,21.2269790148978,25.7355423435284,"NZ","SARS-CoV-2"
2022-09-19,42,23.1241345040102,22.3597594507571,23.8981086224707,20.9974122341964,25.4182469070635,"NZ","SARS-CoV-2"
2022-09-20,43,22.8908936590956,22.1395001884854,23.6566841117173,20.7751849387823,25.1656031986304,"NZ","SARS-CoV-2"
2022-09-21,44,22.6952432283178,21.9480651905347,23.4641987315691,20.6005755950715,24.9361378144209,"NZ","SARS-CoV-2"
2022-09-22,45,22.5586385423118,21.800515490102,23.3203681574601,20.4457959484296,24.8084795402418,"NZ","SARS-CoV-2"
2022-09-23,46,22.4592813614562,21.7093688030374,23.2292344105194,20.3441467052352,24.7182554672868,"NZ","SARS-CoV-2"
2022-09-24,47,22.4229544373757,21.6664915044647,23.1810377635205,20.2870050811599,24.6619933509865,"NZ","SARS-CoV-2"
2022-09-25,48,22.4346477682238,21.6753981779321,23.1930438321788,20.3032787362886,24.7022102060954,"NZ","SARS-CoV-2"
2022-09-26,49,22.504184185531,21.7413576071766,23.2628753266153,20.3397766828615,24.7896416152556,"NZ","SARS-CoV-2"
2022-09-27,50,22.6322922812869,21.8746434906026,23.4117265672479,20.4533299690794,24.9547814267108,"NZ","SARS-CoV-2"
2022-09-28,51,22.8385585951327,22.0702887193781,23.6203755253895,20.6317921843841,25.1926178489074,"NZ","SARS-CoV-2"
2022-09-29,52,23.1220186769708,22.3487175994387,23.9002002230713,20.9257239129547,25.4779488928489,"NZ","SARS-CoV-2"
2022-09-30,53,23.4817552405418,22.696250315614,24.2765307212897,21.2539979872438,25.8641544552626,"NZ","SARS-CoV-2"
