"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location"
2022-08-02,1,407.048357945189,395.401624719774,418.803111121732,373.586005027227,441.88850350122,"NZ"
2022-08-03,2,398.298543411714,388.714528876237,408.19829554548,370.319472380203,426.698440472834,"NZ"
2022-08-04,3,389.828685001382,381.474531404303,397.896365135207,366.021644186372,413.567200225642,"NZ"
2022-08-05,4,381.480639655495,374.349538530672,388.730316533708,360.714774251738,402.671723334837,"NZ"
2022-08-06,5,373.412893321824,366.969959557012,380.16847191718,354.783618593217,392.929717272953,"NZ"
2022-08-07,6,365.760287603564,359.440394380609,371.973635929269,348.218711356038,383.958628225472,"NZ"
2022-08-08,7,358.289891038409,352.202115510627,364.469061909439,341.506882413514,375.828667568812,"NZ"
2022-08-09,8,351.056528509348,345.046123028842,356.98865937734,334.520800662413,368.166972754608,"NZ"
2022-08-10,9,343.87979127203,337.991765079781,349.760090162855,327.597751460987,360.599848550148,"NZ"
2022-08-11,10,336.826991716006,330.988505036482,342.439408352201,320.570386558931,353.495895591098,"NZ"
2022-08-12,11,329.74938574641,324.035950953786,335.424177988879,313.561205920815,346.529006439431,"NZ"
2022-08-13,12,322.641528386288,316.995235750735,328.232130992829,306.974729456684,339.114952394292,"NZ"
2022-08-14,13,315.398618599608,309.879861036911,320.976781775065,299.94463648254,331.556222959879,"NZ"
2022-08-15,14,308.056111428465,302.651358561896,313.67177860111,292.86347873598,324.224371644653,"NZ"
2022-08-16,15,300.540068354934,295.150895665069,306.207893685449,285.55446199947,316.636373916417,"NZ"
2022-08-17,16,292.856593043825,287.536738461163,298.302973740292,277.723746024123,308.635159205781,"NZ"
2022-08-18,17,284.83032484448,279.755124904622,290.112337559113,270.175277886295,300.389620027306,"NZ"
2022-08-19,18,276.63257597985,271.805811413719,281.678037787232,262.474524752178,291.938822323984,"NZ"
2022-08-20,19,268.419741418469,263.747664389568,273.263116112426,254.418764866809,283.484249426354,"NZ"
2022-08-21,20,260.163657166742,255.551940988011,264.896936144857,246.552079605692,274.882260771536,"NZ"
2022-08-22,21,251.902741699472,247.473699908481,256.577772749396,238.673439777061,266.33498745218,"NZ"
2022-08-23,22,243.821817784938,239.49624317438,248.31524320877,230.910265448705,257.539209005594,"NZ"
2022-08-24,23,235.910481196572,231.696975490992,240.333187361242,223.276159620321,249.371499556307,"NZ"
2022-08-25,24,228.333895724352,224.158976195143,232.628500566976,215.74797019632,241.292085647391,"NZ"
2022-08-26,25,221.01249261674,216.798339305648,225.250730966281,208.59303450588,233.8194233028,"NZ"
2022-08-27,26,214.051183531578,209.868661937996,218.185891301322,201.832871659413,226.519000781099,"NZ"
2022-08-28,27,207.426663784639,203.317326187972,211.548622241177,195.450653972724,219.60317244308,"NZ"
2022-08-29,28,201.153450002797,197.136346275484,205.190374351861,189.558892042587,213.050924732168,"NZ"
