"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location"
2022-06-28,1,446.822240427532,434.785215751634,458.352909643298,412.361279093993,481.914238605022,"NZ"
2022-06-29,2,459.456150941078,449.221686661737,469.690858161948,429.768326224157,489.285738619069,"NZ"
2022-06-30,3,472.458039459336,463.454223501111,481.479295564645,446.902873796303,498.21453016025,"NZ"
2022-07-01,4,485.587163942411,477.561177706893,493.694993409077,462.415535700777,508.962533231798,"NZ"
2022-07-02,5,498.963401281267,491.091038911662,506.716443711882,477.057517773369,521.583718609609,"NZ"
2022-07-03,6,512.306146218844,504.701429597617,519.936788592628,490.356425661409,534.859450853451,"NZ"
2022-07-04,7,525.500516625447,517.801141883594,533.351939114639,503.490126189929,548.304121043074,"NZ"
2022-07-05,8,538.651790898111,530.842525147167,546.607616399757,516.675687372664,561.608623155954,"NZ"
2022-07-06,9,551.304228767077,543.282807763484,559.231119150387,528.697444171566,574.886076226623,"NZ"
2022-07-07,10,563.186795489799,555.078287149456,571.164684212807,539.974785960793,587.199136041289,"NZ"
2022-07-08,11,574.017021553195,565.855263628564,582.176034262003,550.16978841964,598.429061656655,"NZ"
2022-07-09,12,583.702423165875,575.766376434594,591.882694993858,559.799111364439,607.956560420992,"NZ"
2022-07-10,13,592.17515828073,584.112973332011,600.262510399329,568.947891588366,616.128370076853,"NZ"
2022-07-11,14,599.408573192314,591.497091619442,607.570046960349,576.558732991778,623.018613712794,"NZ"
2022-07-12,15,605.50448094268,597.575161499385,613.67579735685,582.67592614032,629.089647548724,"NZ"
2022-07-13,16,610.534707658299,602.697762284894,618.644713311757,587.418819315261,633.889888952292,"NZ"
2022-07-14,17,614.524087714451,606.840554015801,622.463952047203,591.496404601771,637.66844905941,"NZ"
2022-07-15,18,617.274722282616,609.623926694716,625.305179610462,594.685223082418,640.343331666734,"NZ"
2022-07-16,19,618.975289968633,611.163677846516,627.01872707962,596.350249742679,642.334087094205,"NZ"
2022-07-17,20,619.472422631434,611.283306159171,627.511153389015,596.436382925114,643.612113071291,"NZ"
2022-07-18,21,618.518349530795,610.308800020611,626.803516024242,595.361219479026,643.17383930247,"NZ"
2022-07-19,22,616.181413209256,608.122342950557,624.618222617172,592.862985185172,640.925183102949,"NZ"
2022-07-20,23,612.369718778319,604.225273355282,620.662590257886,588.936860806688,636.655715935656,"NZ"
2022-07-21,24,606.816894352364,598.694506030361,614.985955276704,583.535732875515,630.94756779519,"NZ"
2022-07-22,25,599.107993719034,591.088961331905,607.584722846681,575.995449416331,623.580682892671,"NZ"
2022-07-23,26,589.865232288622,581.78095395733,598.221671497402,566.522193601576,614.682043205345,"NZ"
2022-07-24,27,578.369357120709,570.554717637378,586.582365603074,555.503623354775,602.402416470468,"NZ"
2022-07-25,28,565.140470701035,557.364434847721,573.141685338855,542.858272041071,588.515469374331,"NZ"
2022-07-26,29,550.371519836866,542.772756004652,558.289724289149,528.561287904737,572.739343967085,"NZ"
2022-07-27,30,534.515264509054,527.053906062622,542.259049240865,512.97389042029,556.609681189943,"NZ"
2022-07-28,31,517.781916210619,510.315953004534,525.166263419398,496.70438158107,539.411768870945,"NZ"
2022-07-29,32,500.30447426155,493.031197053162,507.337730825985,479.818391112191,521.136813511019,"NZ"
2022-07-30,33,482.568206293954,475.699195078704,489.402397082173,462.765878298992,502.521127342958,"NZ"
2022-07-31,34,465.1640592506,458.430340256689,471.851353855484,446.057536106855,484.624674343207,"NZ"
2022-08-01,35,448.233495729912,441.727913814116,454.895260101183,429.39863590203,467.610354320953,"NZ"
2022-08-02,36,432.255931656641,425.779806578656,438.83877556622,413.722026767248,451.563966483911,"NZ"
2022-08-03,37,417.304702841542,410.998719548087,423.916336587038,398.975562479027,436.066361703967,"NZ"
2022-08-04,38,403.585113665441,397.412633765545,410.058399936445,385.52657838164,422.002827094847,"NZ"
2022-08-05,39,390.915238063748,384.776957113486,397.290944404531,373.090919221959,409.069588875455,"NZ"
2022-08-06,40,379.280226425238,373.200999182976,385.614599882831,361.715345742291,397.211778859793,"NZ"
2022-08-07,41,368.718229353554,362.623896957983,374.995908597048,351.736737328708,386.409456367755,"NZ"
2022-08-08,42,359.159025940212,353.039389989214,365.276631540948,342.314798504351,376.439157508508,"NZ"
2022-08-09,43,350.367693976998,344.440209527779,356.27578074278,333.976583392331,367.1886526137,"NZ"
2022-08-10,44,342.121924140946,336.52617428165,348.152918378392,325.853069932548,359.136770956959,"NZ"
2022-08-11,45,334.461251879095,328.866831550344,340.372452246762,318.301154033354,351.396776387224,"NZ"
2022-08-12,46,327.163639740688,321.61966693711,333.046215911256,311.252326226944,344.066849651154,"NZ"
2022-08-13,47,320.139744372643,314.669452051943,325.819746927234,304.218742577605,336.856982116622,"NZ"
2022-08-14,48,313.126070895989,307.661883253823,318.653419758929,297.442619278308,329.707893994661,"NZ"
2022-08-15,49,306.122879107995,300.690812621722,311.500551700613,290.428812021087,322.304366123973,"NZ"
2022-08-16,50,298.924065871721,293.504589494873,304.226072164498,283.362852778308,314.774464388875,"NZ"
2022-08-17,51,291.494549736832,286.090867344651,296.723064422598,276.117549435665,306.996282359391,"NZ"
2022-08-18,52,283.777822755979,278.556751243086,288.925870157665,268.864904553476,299.091836268288,"NZ"
2022-08-19,53,275.893158474717,270.82316461316,280.952090444993,261.611244213807,290.860584342142,"NZ"
2022-08-20,54,267.940789668346,262.910482401798,272.851042595358,254.032400149227,282.350939413116,"NZ"
2022-08-21,55,259.85331595947,254.898581411331,264.760922785014,246.442887792615,274.113247791758,"NZ"
2022-08-22,56,251.757167709448,247.017767721914,256.583408961036,238.531399801724,265.781234553221,"NZ"
2022-08-23,57,243.788104151534,239.182032989838,248.500346481075,230.672135107267,257.336100483097,"NZ"
2022-08-24,58,235.933586883465,231.483809495345,240.539522940171,223.062748513784,249.22974424545,"NZ"
2022-08-25,59,228.256276783526,223.991546064852,232.869699894426,215.835657343981,241.203538146646,"NZ"
2022-08-26,60,220.951959501729,216.875519262256,225.489528697687,208.676775087928,233.873514558024,"NZ"
2022-08-27,61,214.019614669624,209.986260483856,218.48380828135,201.868456546326,226.602643325225,"NZ"
2022-08-28,62,207.510863320487,203.481143718533,211.799497310805,195.488365626328,219.922834831248,"NZ"
2022-08-29,63,201.305778741989,197.344032419947,205.458263468343,189.548580144555,213.360915906125,"NZ"
2022-08-30,64,195.290772284528,191.377930786879,199.397555747027,183.734869258331,207.301022104536,"NZ"
2022-08-31,65,189.490559109624,185.554178099984,193.532743418006,177.99150317475,201.358976745044,"NZ"
2022-09-01,66,183.776937125144,179.854198255261,187.744234745481,172.304276420608,195.536884439284,"NZ"
2022-09-02,67,178.130011223025,174.282435575983,181.975343331948,166.962753159855,189.715464340474,"NZ"
2022-09-03,68,172.454388074961,168.589890159326,176.205089158688,161.570527467771,183.871832382142,"NZ"
2022-09-04,69,166.751877076837,162.902738417586,170.463730992681,155.979998092502,178.000163198105,"NZ"
2022-09-05,70,160.886241233957,157.065618835742,164.57603879623,150.307873540455,172.050231049838,"NZ"
2022-09-06,71,154.856576888597,151.169629283724,158.56359271354,144.625929275321,165.788894224152,"NZ"
2022-09-07,72,148.724106556998,145.096750289135,152.331653960448,138.87732242241,159.303606295653,"NZ"
2022-09-08,73,142.52767412041,138.914323531225,145.998099286514,133.085920770144,152.778116780768,"NZ"
2022-09-09,74,136.240645471844,132.803629966581,139.680327132399,127.196075870011,146.15589315033,"NZ"
2022-09-10,75,130.00495933631,126.796427249317,133.404180660876,121.375399134314,139.570040936851,"NZ"
2022-09-11,76,123.932095125518,120.853585256184,127.175338549763,115.514896248259,133.156128395798,"NZ"
2022-09-12,77,118.00738611591,115.013602978126,121.035128676927,109.735164839978,126.866638658431,"NZ"
2022-09-13,78,112.271880218729,109.408773232128,115.224344070454,104.340167452731,120.624168488396,"NZ"
