"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location","pathogen"
2022-08-31,2,-0.0302875353254619,-0.038966533603183,-0.0219727078082184,-0.055481537289659,-0.00640811759291957,0.008375,"NZ","SARSCOV2"
2022-09-01,3,-0.0302553933231127,-0.0384480974589007,-0.0222635528662108,-0.0541786979187923,-0.00790376473905648,0.005625,"NZ","SARSCOV2"
2022-09-02,4,-0.0301300257789934,-0.0377311588304563,-0.0227066658468283,-0.0524642898186618,-0.00919704776115465,0.00325,"NZ","SARSCOV2"
2022-09-03,5,-0.0299544908267351,-0.0368254926534376,-0.0231096819565035,-0.0504696394592167,-0.0104346519365971,0.001875,"NZ","SARSCOV2"
2022-09-04,6,-0.0296959465184741,-0.0360054699888598,-0.0235030491145035,-0.0482162496593328,-0.01172074969971,0.00075,"NZ","SARSCOV2"
2022-09-05,7,-0.0293991470341926,-0.0351209750219056,-0.0236479945805382,-0.0463385898518567,-0.0128003207865996,0.000375,"NZ","SARSCOV2"
2022-09-06,8,-0.0289645096302944,-0.0343244474243691,-0.0235423785172034,-0.0448069925348525,-0.0132490158214472,0.00025,"NZ","SARSCOV2"
2022-09-07,9,-0.0284927519071079,-0.0335239960238721,-0.0233451934346967,-0.0430520166570148,-0.0134821062511378,0.000125,"NZ","SARSCOV2"
2022-09-08,10,-0.0278634146817094,-0.0324437010986058,-0.0229800457418687,-0.0414048771432338,-0.0137337449135243,0.000125,"NZ","SARSCOV2"
2022-09-09,11,-0.0271079092883588,-0.0314382386004993,-0.0226760494491671,-0.0398796548545737,-0.0139871289450898,0,"NZ","SARSCOV2"
2022-09-10,12,-0.0262552187772216,-0.0303434305077604,-0.0220030422559496,-0.0385112248575516,-0.0137396035042278,0,"NZ","SARSCOV2"
2022-09-11,13,-0.0252247787315771,-0.0294934350974538,-0.0210374304662557,-0.0375509779139693,-0.0128339893084364,0,"NZ","SARSCOV2"
2022-09-12,14,-0.0241208719405774,-0.0284011198821454,-0.0199597317342203,-0.0364290006286925,-0.0116716080461073,0,"NZ","SARSCOV2"
2022-09-13,15,-0.0229007384374862,-0.0271640862296985,-0.0187237823629072,-0.035089409965473,-0.0108236815300946,0,"NZ","SARSCOV2"
2022-09-14,16,-0.0214733159992009,-0.0255501357124774,-0.0175321440882563,-0.0332573151196011,-0.00993787996430746,0,"NZ","SARSCOV2"
2022-09-15,17,-0.0200131065223825,-0.0240235762167158,-0.0161154458203329,-0.0317804286674453,-0.00854423374294312,0.000375,"NZ","SARSCOV2"
2022-09-16,18,-0.0184185552723664,-0.0224215442487317,-0.0142857932755802,-0.0303434201106462,-0.00657543931517717,0.001,"NZ","SARSCOV2"
2022-09-17,19,-0.0167237590017058,-0.0207477835089309,-0.0125466332134847,-0.0288460412564344,-0.00453631464671653,0.004,"NZ","SARSCOV2"
2022-09-18,20,-0.0148660551174531,-0.0188752539832019,-0.0108211214763015,-0.026819371374399,-0.0029085119330582,0.00725,"NZ","SARSCOV2"
2022-09-19,21,-0.0129207259966977,-0.0168890460469916,-0.00905380175237558,-0.0248251183729732,-0.00129454629146251,0.015375,"NZ","SARSCOV2"
2022-09-20,22,-0.0109389936562929,-0.0149486197556782,-0.00699398286575992,-0.022749175261981,0.00046811187781006,0.030625,"NZ","SARSCOV2"
2022-09-21,23,-0.00880597867096711,-0.0129644628853594,-0.004732304596198,-0.0210150288195332,0.00278683146952777,0.07,"NZ","SARSCOV2"
2022-09-22,24,-0.00664842867958848,-0.010785095832247,-0.00247226524374855,-0.0188859208240782,0.00505165940423096,0.142625,"NZ","SARSCOV2"
2022-09-23,25,-0.00432927461626154,-0.00845239073599813,-0.000268193903803504,-0.0164425744925144,0.00733644269312545,0.23875,"NZ","SARSCOV2"
