"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2022-08-17,2,-0.0395959206556853,-0.0463651969505352,-0.0324377701121203,-0.0600773958944605,-0.0195482085554504,0,"NZ"
2022-08-18,3,-0.0393250334937019,-0.0456532194593486,-0.0330789013857402,-0.0579469445886759,-0.0213709246100042,0,"NZ"
2022-08-19,4,-0.0391544782519837,-0.0448287367222617,-0.0334325770659982,-0.0559125927701427,-0.0229023238492593,0,"NZ"
2022-08-20,5,-0.0388569797063041,-0.0438031463969737,-0.0338759060123284,-0.053733863246872,-0.0244540561702674,0,"NZ"
2022-08-21,6,-0.0384304986843982,-0.042803410582918,-0.0340328307028444,-0.0514693766596293,-0.0258273493992626,0,"NZ"
2022-08-22,7,-0.0378575714859744,-0.0417585173106709,-0.0339301550649702,-0.0492268101298104,-0.0266917505321635,0,"NZ"
2022-08-23,8,-0.037169355467793,-0.0408447194057635,-0.0334478314716473,-0.0478831296491612,-0.0264462382549033,0,"NZ"
2022-08-24,9,-0.0362548045590634,-0.0398535476799964,-0.0326315265699424,-0.0466327552493629,-0.0259034196477248,0,"NZ"
2022-08-25,10,-0.0352142370911763,-0.0385733371828325,-0.0317302310110057,-0.0449379008319798,-0.0252184703601481,0,"NZ"
2022-08-26,11,-0.0339078448089709,-0.0370230265859712,-0.030657971682813,-0.0429260687383102,-0.0246322072896629,0,"NZ"
2022-08-27,12,-0.0324671797368885,-0.0356830604728007,-0.0293301865455704,-0.0415287577225881,-0.0231845458493962,0,"NZ"
2022-08-28,13,-0.0314038299082862,-0.0346643710546903,-0.0279737648921567,-0.0407991348239999,-0.0213994749020214,0,"NZ"
2022-08-29,14,-0.0306390989782885,-0.0339986237158574,-0.0270282733760481,-0.0404295431706622,-0.0202961523443654,0,"NZ"
2022-08-30,15,-0.0301072383233132,-0.0334752656332509,-0.0266481324308891,-0.0398074818646789,-0.0200393276542909,0,"NZ"
2022-08-31,16,-0.029942638466943,-0.0332447735545831,-0.0266680010038716,-0.0393092606073145,-0.0201898622709815,0,"NZ"
