"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location"
2022-08-16,1,363.665876254919,352.041119242067,375.4172960466,330.334105657581,398.725769797291,"NZ"
2022-08-17,2,343.023310613057,333.422304305379,352.776316820236,315.771289479445,371.950119698485,"NZ"
2022-08-18,3,304.721367556123,297.054765836518,312.447399694478,282.735036485831,327.851245213243,"NZ"
2022-08-19,4,296.449437763263,289.583256028858,303.494485145325,276.74677394518,317.310040947043,"NZ"
2022-08-20,5,216.684619206549,211.957818652582,221.863068397097,202.738509782855,231.40540744226,"NZ"
2022-08-21,6,203.541440801771,198.941581706526,208.17771853301,190.355005437865,217.352040950782,"NZ"
2022-08-22,7,277.139137511132,271.300745623836,283.119100934654,259.886680002452,294.944723604891,"NZ"
2022-08-23,8,277.309180181549,271.594047129734,283.194598299264,260.864801900183,294.649609036997,"NZ"
2022-08-24,9,262.576993448186,257.04978551834,268.142316048806,246.856004009846,278.920708298125,"NZ"
2022-08-25,10,234.193068338333,229.227886429128,239.451674357744,219.913879783153,248.974089292513,"NZ"
2022-08-26,11,229.269690923873,224.098527169567,234.266605466134,215.078386237326,244.012730467341,"NZ"
2022-08-27,12,168.634115552048,164.881674027036,172.490946970205,158.006885495612,179.871049287,"NZ"
2022-08-28,13,159.392004813716,155.879184139905,163.101033648502,149.418146242382,170.140919054027,"NZ"
2022-08-29,14,218.704634277402,213.914397810245,223.590176690483,205.112339174117,233.120079039877,"NZ"
2022-08-30,15,220.499565233978,215.631513176419,225.464309661236,206.626455348313,234.919770153178,"NZ"
2022-08-31,16,210.018906926394,205.478373989137,214.679252754581,196.842524741018,224.000838332514,"NZ"
2022-09-01,17,188.374610862474,184.055740864698,192.607773422094,176.391389988484,201.050050488801,"NZ"
2022-09-02,18,184.811665262389,180.456542316062,189.138752903252,172.976214723957,197.68416059991,"NZ"
2022-09-03,19,136.100233045202,132.788513872844,139.458204211612,126.886010411675,145.913307270911,"NZ"
2022-09-04,20,128.395126305123,125.300495979846,131.647655845387,119.385275753171,138.074715169019,"NZ"
2022-09-05,21,175.347009921565,171.150374055994,179.655375758413,163.147845056556,188.487439251372,"NZ"
2022-09-06,22,175.492862937099,171.098554101045,180.01755908968,163.164346022755,188.406068846588,"NZ"
2022-09-07,23,165.492832323314,161.502151925475,169.749741821234,153.833041545634,177.81495494979,"NZ"
2022-09-08,24,146.750999261156,142.941395531566,150.555574051073,136.380064159259,157.819907241022,"NZ"
2022-09-09,25,142.172647762871,138.487956180224,145.832154678959,131.78145070261,153.335382933143,"NZ"
2022-09-10,26,103.184402761984,100.403797906672,106.035357194428,95.2987880633967,111.453112053641,"NZ"
2022-09-11,27,95.9696684380309,93.3427455219546,98.7147372184098,88.6052018274333,103.842448487387,"NZ"
2022-09-12,28,129.255449772566,125.814874610008,132.7625176164,119.514461928423,139.718516033967,"NZ"
2022-09-13,29,127.798268698862,124.376973540862,131.256871751432,117.999655290866,138.170268154633,"NZ"
2022-09-14,30,119.357875215052,116.152173489661,122.738931845465,110.068597497272,129.198403839693,"NZ"
2022-09-15,31,105.06944586429,102.179755856054,108.068782115042,96.8127348035843,114.02270460737,"NZ"
2022-09-16,32,101.476998404448,98.5530219775224,104.465411559248,93.4569801165265,110.055138688042,"NZ"
2022-09-17,33,73.7309030217566,71.5914401258055,75.936451118472,67.6887266649095,80.094126283343,"NZ"
2022-09-18,34,68.9093576487464,66.8136722697506,71.0581268058178,63.0896797756682,75.0976013017128,"NZ"
2022-09-19,35,93.6128446530007,90.8908500328886,96.4031068938135,85.8440473110218,101.89276038173,"NZ"
2022-09-20,36,93.7529731854546,90.9172428137496,96.5180770037667,85.9035313644822,102.105308460751,"NZ"
2022-09-21,37,88.9620981805513,86.2992539354819,91.648791467454,81.2849152051412,97.0020650511904,"NZ"
2022-09-22,38,79.7148761132979,77.2586102967565,82.1012988135516,72.9062211590508,87.1052393996422,"NZ"
2022-09-23,39,78.5710006583912,76.1539925194201,81.0079371908063,71.6643996725739,85.7680512326801,"NZ"
2022-09-24,40,58.4307209982999,56.6029203765172,60.2320750927049,53.0997549763711,63.887725843478,"NZ"
2022-09-25,41,55.9479731566327,54.1794236201017,57.7527991512327,50.8129442089932,61.2648147151532,"NZ"
2022-09-26,42,78.0501881092344,75.6334609530613,80.5167800948875,70.9788311069127,85.2384159346338,"NZ"
2022-09-27,43,80.3675387233106,77.862645445164,82.8947258430135,73.1762929370656,87.7245092178242,"NZ"
2022-09-28,44,78.5222236947993,76.1085070065969,81.0272564368816,71.4362424790081,85.6097138593305,"NZ"
2022-09-29,45,72.5518774034318,70.2580431487532,74.8060534088523,65.98700562974,79.368834331491,"NZ"
2022-09-30,46,73.6930802618563,71.4115565618654,76.0313592268131,67.1737303397472,80.5955653868171,"NZ"
2022-10-01,47,56.5300281707934,54.7531132536038,58.3152750244871,51.4814288267376,61.7734492112867,"NZ"
2022-10-02,48,55.8627130241398,54.1207300841819,57.6226023232549,50.8733288761157,61.0427126040678,"NZ"
2022-10-03,49,80.2876609092053,77.8845229886761,82.785427282838,73.4382406180254,87.481816182701,"NZ"
2022-10-04,50,85.1508471611319,82.5419812465225,87.7391568751892,77.974838720317,92.6734037282869,"NZ"
2022-10-05,51,85.6065082489023,82.9187158927613,88.1192454353315,78.3897756221314,92.9996221210585,"NZ"
2022-10-06,52,81.1391911502386,78.6650760422124,83.5484457460576,74.3479706425489,88.3296472307654,"NZ"
2022-10-07,53,84.4545908102637,81.996904432755,86.9412850545483,77.5659496434184,91.7774058014464,"NZ"
2022-10-08,54,66.2251758252019,64.2529035416354,68.2200640357586,60.6523369511388,72.1156567365097,"NZ"
2022-10-09,55,66.7064542020824,64.7570175423697,68.681275512954,61.0676860088609,72.6494060831167,"NZ"
