"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location","pathogen"
2023-01-05,122,58.1443811571689,56.7467030983344,59.6291714139969,54.1964475059975,62.3663601467916,"NZ","SARS-CoV-2"
2023-01-06,123,56.1009262305032,54.7402629771475,57.5358942967242,52.2597877745922,60.2802724003173,"NZ","SARS-CoV-2"
2023-01-07,124,54.0813977200481,52.7626875011241,55.4736094543616,50.3252672908621,58.1633424377468,"NZ","SARS-CoV-2"
2023-01-08,125,52.0946911155812,50.7897362093521,53.4345415459465,48.3924099814021,56.07227366982,"NZ","SARS-CoV-2"
2023-01-09,126,50.1480159633198,48.8469113186495,51.4337113894411,46.5177802511794,54.0065876051705,"NZ","SARS-CoV-2"
2023-01-10,127,48.2160309382197,46.9330098920788,49.4505931601169,44.7061020186552,51.9771959128431,"NZ","SARS-CoV-2"
2023-01-11,128,46.3139510586607,45.0859478891392,47.5555103824709,42.9210133191348,49.954203049246,"NZ","SARS-CoV-2"
2023-01-12,129,44.4869199991387,43.3161551520314,45.7074341412104,41.1683423530574,48.0632232112512,"NZ","SARS-CoV-2"
2023-01-13,130,42.7308389287152,41.5593721927106,43.8913320947186,39.4939605266047,46.2151822921784,"NZ","SARS-CoV-2"
2023-01-14,131,41.0300409540596,39.8800501945248,42.1486284481737,37.8638492054328,44.4216498740017,"NZ","SARS-CoV-2"
2023-01-15,132,39.3921440553661,38.2765289036961,40.4833824002555,36.2875125489882,42.7237249361185,"NZ","SARS-CoV-2"
2023-01-16,133,37.8067722603901,36.7487873102002,38.8865601318531,34.7830052261417,41.0015559050925,"NZ","SARS-CoV-2"
2023-01-17,134,36.3039757879804,35.2661797357325,37.38102159295,33.3917784585223,39.4247828477404,"NZ","SARS-CoV-2"
2023-01-18,135,34.8777518994864,33.8565611324112,35.9254923819191,32.0447845156166,37.9290143613566,"NZ","SARS-CoV-2"
2023-01-19,136,33.52654812618,32.5255003788124,34.5570257028488,30.7594617761992,36.5395512911321,"NZ","SARS-CoV-2"
2023-01-20,137,32.265327497034,31.2751073794844,33.2349015173835,29.5442593302924,35.1538503251385,"NZ","SARS-CoV-2"
2023-01-21,138,31.0539504277688,30.0955731225802,32.0130306815537,28.3898946921937,33.9098305886626,"NZ","SARS-CoV-2"
2023-01-22,139,29.9289791857464,29.0041228094611,30.8801025365338,27.3438269503064,32.6806869913869,"NZ","SARS-CoV-2"
2023-01-23,140,28.8938210376741,27.9932230908925,29.8240768837357,26.3748008745472,31.5834622417327,"NZ","SARS-CoV-2"
2023-01-24,141,27.9405110836803,27.0496780410345,28.8421105469104,25.4677747016991,30.5604436204265,"NZ","SARS-CoV-2"
2023-01-25,142,27.0666449827471,26.1945140859728,27.958275848619,24.6480831528564,29.625843461041,"NZ","SARS-CoV-2"
2023-01-26,143,26.269377003104,25.413423595421,27.138422618161,23.9161906084408,28.7568677074971,"NZ","SARS-CoV-2"
2023-01-27,144,25.5414968067031,24.7093614599116,26.3876024039972,23.250777294191,28.0086415998242,"NZ","SARS-CoV-2"
2023-01-28,145,24.889308889845,24.086451526127,25.7200622535162,22.626306737191,27.3254896584254,"NZ","SARS-CoV-2"
2023-01-29,146,24.3073001603435,23.5216529550519,25.123578454834,22.0811691218872,26.6892806082093,"NZ","SARS-CoV-2"
2023-01-30,147,23.792977112448,23.0201718814635,24.5885137139775,21.6058401930883,26.1242190183412,"NZ","SARS-CoV-2"
2023-01-31,148,23.3459500141544,22.591840037674,24.1203000662701,21.1863644318173,25.641038034434,"NZ","SARS-CoV-2"
2023-02-01,149,22.9442188967356,22.2091017258788,23.712705022178,20.8234998902821,25.1793665600169,"NZ","SARS-CoV-2"
2023-02-02,150,22.5970769746257,21.8642917078231,23.378255938378,20.4894228500741,24.8544712214294,"NZ","SARS-CoV-2"
2023-02-03,151,22.3060768023398,21.586258700937,23.0829466427231,20.2041349527787,24.5813247295696,"NZ","SARS-CoV-2"
2023-02-04,152,22.067054971358,21.3518764967237,22.8293440107959,19.990448130677,24.3149039979316,"NZ","SARS-CoV-2"
2023-02-05,153,21.871255132623,21.1586401363111,22.6333623415213,19.8014539772309,24.077175681461,"NZ","SARS-CoV-2"
2023-02-06,154,21.7211946105628,21.0032031664402,22.4840384804401,19.6638441803803,23.90483955147,"NZ","SARS-CoV-2"
2023-02-07,155,21.6036629046577,20.8859022079923,22.3613005441022,19.518925113882,23.7992098925293,"NZ","SARS-CoV-2"
2023-02-08,156,21.5293704845975,20.8120146372648,22.280426711764,19.4264812784464,23.7457592544236,"NZ","SARS-CoV-2"
2023-02-09,157,21.4924826214055,20.7646352038464,22.2366016701024,19.3960783214512,23.7128214852179,"NZ","SARS-CoV-2"
2023-02-10,158,21.4811832512489,20.7531603110952,22.2243450751904,19.3738472198848,23.7120416310853,"NZ","SARS-CoV-2"
2023-02-11,159,21.5089213297274,20.7806618695584,22.2459754307886,19.400021045202,23.7338112211901,"NZ","SARS-CoV-2"
2023-02-12,160,21.5662566956902,20.835815243563,22.3083143000042,19.4479748961342,23.8041694285027,"NZ","SARS-CoV-2"
2023-02-13,161,21.6619583819457,20.9149212486166,22.4013574590996,19.5578117300237,23.9122463923884,"NZ","SARS-CoV-2"
2023-02-14,162,21.785184518739,21.0418163631918,22.5238725003934,19.6733071697422,24.0331743327136,"NZ","SARS-CoV-2"
2023-02-15,163,21.9356705007054,21.2068579485718,22.6929234536403,19.8118820651204,24.2167897904772,"NZ","SARS-CoV-2"
2023-02-16,164,22.1278150664508,21.3951496957974,22.8978003898491,19.9810425099129,24.4087907376753,"NZ","SARS-CoV-2"
2023-02-17,165,22.3649351278294,21.6141646708915,23.1413854434454,20.1992423606538,24.6588589911536,"NZ","SARS-CoV-2"
