"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location","pathogen"
2022-08-10,2,-0.0286714556758771,-0.0363365707315035,-0.0209368207739744,-0.0509860552565103,-0.00628309814790303,0.00625,"NZ","SARSCOV2"
2022-08-11,3,-0.0287900500777529,-0.0360519136782609,-0.0218107005605952,-0.0499282537508818,-0.00804303424429529,0.0035,"NZ","SARSCOV2"
2022-08-12,4,-0.0290691700173538,-0.0357091838893815,-0.0225417738615081,-0.0485088070450987,-0.00986725567892267,0.001625,"NZ","SARSCOV2"
2022-08-13,5,-0.0294307027251532,-0.0356007953839697,-0.0235715356735084,-0.0472867727382937,-0.0118523995418408,0.000625,"NZ","SARSCOV2"
2022-08-14,6,-0.0299289925684789,-0.0355135257811836,-0.0246912981477787,-0.0460386464563449,-0.0140761685899917,0.000125,"NZ","SARSCOV2"
2022-08-15,7,-0.0305271788055954,-0.035597275073773,-0.0256809053724731,-0.04520820191226,-0.0160851835276849,0,"NZ","SARSCOV2"
2022-08-16,8,-0.0311178967856636,-0.0358990087946716,-0.026450915107934,-0.0449929025280797,-0.017723848375425,0,"NZ","SARSCOV2"
2022-08-17,9,-0.0317055386292102,-0.0361679339823624,-0.0272926388619956,-0.0445483310193155,-0.0191844939479459,0,"NZ","SARSCOV2"
2022-08-18,10,-0.0322501575104708,-0.0363390369538572,-0.0282109398688914,-0.044143130847727,-0.0204829346202967,0,"NZ","SARSCOV2"
2022-08-19,11,-0.0327797046081395,-0.0365656174089801,-0.0290911110764761,-0.0438589173323678,-0.0218888902541227,0,"NZ","SARSCOV2"
2022-08-20,12,-0.0333598145622014,-0.0369397131568819,-0.0296449292562015,-0.0441226863473429,-0.0228473744711145,0,"NZ","SARSCOV2"
2022-08-21,13,-0.0336861193765743,-0.0373256604645539,-0.0300385598687537,-0.0447479214982101,-0.0229981970862918,0,"NZ","SARSCOV2"
2022-08-22,14,-0.0339033540257039,-0.0376927693643293,-0.0301974053797369,-0.0450552060347025,-0.0232036071866805,0,"NZ","SARSCOV2"
2022-08-23,15,-0.0339838434755892,-0.0376233497263793,-0.0302932834787926,-0.0448116264466364,-0.023517420039288,0,"NZ","SARSCOV2"
2022-08-24,16,-0.033830483711232,-0.0373527371575331,-0.0303715027702799,-0.0442602662769968,-0.0236854764840667,0,"NZ","SARSCOV2"
2022-08-25,17,-0.0336073246287927,-0.0371870272068773,-0.0300616527692832,-0.0440301891921731,-0.0232761330207992,0,"NZ","SARSCOV2"
2022-08-26,18,-0.0332405915156357,-0.0369238135056585,-0.0295093182373934,-0.043921845148786,-0.0223799239672903,0,"NZ","SARSCOV2"
2022-08-27,19,-0.0328141270975051,-0.0365667859915881,-0.0289128938418144,-0.0437333067081744,-0.0216513476114052,0,"NZ","SARSCOV2"
2022-08-28,20,-0.0322630953273095,-0.0359782839800515,-0.0283533663147384,-0.0432634331148243,-0.0210233890876925,0,"NZ","SARSCOV2"
