"time","t_step","y","lb_50","ub_50","lb_95","ub_95","location","pathogen"
2022-08-16,1,60.6055869208846,57.8059961746483,63.4343196139744,52.6412729245204,69.2689042050189,"NZ","SARS-CoV-2"
2022-08-17,2,58.2545459696695,55.9122638392512,60.638480180844,51.4206320831277,65.4938239142571,"NZ","SARS-CoV-2"
2022-08-18,3,55.9927822621142,54.0067056108866,58.0714183200721,50.0493082033737,62.1769735256844,"NZ","SARS-CoV-2"
2022-08-19,4,53.8985222644202,52.0903886459283,55.6491965200221,48.6475516748097,59.2845498987057,"NZ","SARS-CoV-2"
2022-08-20,5,51.8461851065353,50.2253735104556,53.4096359864831,47.1949506449793,56.7100579772373,"NZ","SARS-CoV-2"
2022-08-21,6,49.8913226360153,48.4215554667263,51.3571275249874,45.6815662243738,54.3831145309384,"NZ","SARS-CoV-2"
2022-08-22,7,48.0415729239866,46.688963546545,49.4135344572006,44.1731124304173,52.2698396405815,"NZ","SARS-CoV-2"
2022-08-23,8,46.2863269345862,45.0055824505023,47.5974006928043,42.6855372740087,50.2681687864557,"NZ","SARS-CoV-2"
2022-08-24,9,44.6270277158051,43.4023240226008,45.9002983711701,41.1611724711497,48.4915829586416,"NZ","SARS-CoV-2"
2022-08-25,10,43.0683729939616,41.876643811135,44.3001673338756,39.6892469764834,46.7870580470709,"NZ","SARS-CoV-2"
2022-08-26,11,41.6025483882255,40.4465030737873,42.7997005635558,38.2808434209573,45.204304479848,"NZ","SARS-CoV-2"
2022-08-27,12,40.248877272357,39.0852007855031,41.4032400229539,37.0262212136685,43.7419726750397,"NZ","SARS-CoV-2"
2022-08-28,13,38.9550766627357,37.8019185821336,40.0795897257121,35.8326593818583,42.340464251658,"NZ","SARS-CoV-2"
2022-08-29,14,37.7419207848073,36.6253640093522,38.8358172746206,34.6827042020609,41.0717004795512,"NZ","SARS-CoV-2"
2022-08-30,15,36.5805482850791,35.5295867002342,37.6760116439435,33.5991044305058,39.888511118639,"NZ","SARS-CoV-2"
2022-08-31,16,35.496805168341,34.4662250486524,36.579245115485,32.5693199703874,38.6906189693374,"NZ","SARS-CoV-2"
2022-09-01,17,34.4771718100125,33.4665545699424,35.5302664532478,31.5854625960691,37.584391135037,"NZ","SARS-CoV-2"
2022-09-02,18,33.5098231632952,32.5316832207414,34.5386064215186,30.6578975533015,36.563303671116,"NZ","SARS-CoV-2"
2022-09-03,19,32.5931428022406,31.6371562542722,33.591314016735,29.787019156279,35.6231524020419,"NZ","SARS-CoV-2"
2022-09-04,20,31.7042148405562,30.7910312473396,32.7036216339543,28.9924514722579,34.7216435425912,"NZ","SARS-CoV-2"
2022-09-05,21,30.8697034212623,29.9651720683432,31.8504113305626,28.2038650174757,33.8157976508377,"NZ","SARS-CoV-2"
2022-09-06,22,30.0797145193001,29.1743712229165,31.0318019046066,27.4146406434508,32.9517930136866,"NZ","SARS-CoV-2"
2022-09-07,23,29.3271484746297,28.4244892285422,30.2512908719769,26.7173462048753,32.1808111135941,"NZ","SARS-CoV-2"
2022-09-08,24,28.5855254308298,27.7179848958767,29.511193973539,25.9996756783978,31.391995150361,"NZ","SARS-CoV-2"
2022-09-09,25,27.8954811229249,27.0496966017416,28.8080457570447,25.3902155043792,30.6335755779469,"NZ","SARS-CoV-2"
2022-09-10,26,27.2391175234268,26.4094170824018,28.1271853772384,24.7899032957827,29.9198697912342,"NZ","SARS-CoV-2"
2022-09-11,27,26.61586020018,25.7915289897842,27.4944560509385,24.1958638934924,29.2172568057741,"NZ","SARS-CoV-2"
2022-09-12,28,26.0410424970501,25.2141035039194,26.8911502114917,23.6466942181227,28.578513264895,"NZ","SARS-CoV-2"
2022-09-13,29,25.5037161142708,24.677497385555,26.3169972231274,23.1322960869895,28.0053681835448,"NZ","SARS-CoV-2"
2022-09-14,30,24.9900728829599,24.178479529569,25.7841408237806,22.6659881709349,27.4904318979451,"NZ","SARS-CoV-2"
2022-09-15,31,24.5150226286776,23.7320561468677,25.32943450972,22.2164827354812,27.0278677738564,"NZ","SARS-CoV-2"
2022-09-16,32,24.0952359669999,23.3253498247408,24.9100588448291,21.8468661336369,26.5635973128657,"NZ","SARS-CoV-2"
2022-09-17,33,23.7312446110247,22.9649978609337,24.5243911126319,21.5250446412136,26.1348826767955,"NZ","SARS-CoV-2"
2022-09-18,34,23.396564695993,22.638888239497,24.198887591159,21.2381468148987,25.7729167033048,"NZ","SARS-CoV-2"
2022-09-19,35,23.1176063609828,22.3691219872823,23.9192957307764,20.9544079518225,25.4588692892665,"NZ","SARS-CoV-2"
2022-09-20,36,22.8751609986635,22.1303874481152,23.6789651238478,20.7332765969543,25.2232242748882,"NZ","SARS-CoV-2"
2022-09-21,37,22.6865116299373,21.9456467111937,23.4884236873851,20.5267470190964,24.980092618437,"NZ","SARS-CoV-2"
2022-09-22,38,22.548512446648,21.8010415300384,23.3316485055345,20.3855312891462,24.8072512522832,"NZ","SARS-CoV-2"
2022-09-23,39,22.4547079469693,21.7159011300976,23.2392885188729,20.2902376250533,24.7304916777193,"NZ","SARS-CoV-2"
2022-09-24,40,22.412930058623,21.6628664190281,23.1972367221761,20.2127778577874,24.6999113241758,"NZ","SARS-CoV-2"
2022-09-25,41,22.4195045154833,21.6682477141628,23.1984759303321,20.2223741499679,24.7169620068197,"NZ","SARS-CoV-2"
2022-09-26,42,22.4887370683373,21.7240712247829,23.266414922736,20.2760815226621,24.8018495904932,"NZ","SARS-CoV-2"
2022-09-27,43,22.6130193130424,21.8545529076603,23.4094316932237,20.4083640438543,24.952557391851,"NZ","SARS-CoV-2"
2022-09-28,44,22.8108761486004,22.062106291696,23.5996159877131,20.6128877258786,25.1781109523325,"NZ","SARS-CoV-2"
2022-09-29,45,23.0771167259017,22.3353892174505,23.89456407695,20.8758112891751,25.4976408909352,"NZ","SARS-CoV-2"
2022-09-30,46,23.4298120274835,22.6794182907798,24.2523192126366,21.1919546578831,25.8732338699891,"NZ","SARS-CoV-2"
2022-10-01,47,23.8800203548683,23.1104344136232,24.6913567009522,21.6066646847982,26.3295136244968,"NZ","SARS-CoV-2"
2022-10-02,48,24.4088082437452,23.6181733840348,25.2245731538529,22.08665160818,26.8880501273273,"NZ","SARS-CoV-2"
2022-10-03,49,25.0292802165894,24.2124020474168,25.8305544866867,22.656113324015,27.5259455390649,"NZ","SARS-CoV-2"
