"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location","pathogen"
2022-08-03,2,-0.0395154053177906,-0.0469084040604768,-0.0320763272951281,-0.0606344908790698,-0.0188382433098408,0.000125,"NZ","SARSCOV2"
2022-08-04,3,-0.0393144385446647,-0.0460000130871832,-0.0325481749738592,-0.0587629322485548,-0.0198908738795428,0,"NZ","SARSCOV2"
2022-08-05,4,-0.0389118523158385,-0.0450286166038376,-0.0327720133403928,-0.0567050747967339,-0.0207609873310307,0,"NZ","SARSCOV2"
2022-08-06,5,-0.0383296143925551,-0.0438466138016278,-0.0327615257711107,-0.0542822076233583,-0.0219733727283652,0,"NZ","SARSCOV2"
2022-08-07,6,-0.0375941171997267,-0.0427280308670579,-0.0326528556309524,-0.0518780870190319,-0.0228823375957684,0,"NZ","SARSCOV2"
2022-08-08,7,-0.0368004811414138,-0.0412916436701403,-0.0322450069936713,-0.0499281968416997,-0.0235654280554826,0,"NZ","SARSCOV2"
2022-08-09,8,-0.0360140792050232,-0.0401565441827361,-0.0317474344585904,-0.0483679383939536,-0.0233042581505438,0,"NZ","SARSCOV2"
2022-08-10,9,-0.0353173753894063,-0.0391766047031565,-0.0311583119156797,-0.0471197267024732,-0.0233067512175585,0,"NZ","SARSCOV2"
2022-08-11,10,-0.0346095426173263,-0.0383439184849597,-0.0308406479194152,-0.0458891087648758,-0.0234280455239639,0,"NZ","SARSCOV2"
2022-08-12,11,-0.034001564382053,-0.0375706238014968,-0.0305266366865615,-0.0443802465054478,-0.0237788996719848,0,"NZ","SARSCOV2"
2022-08-13,12,-0.0335151887263621,-0.037014578003697,-0.0301650870414119,-0.0433738348621356,-0.0233938034533803,0,"NZ","SARSCOV2"
2022-08-14,13,-0.0332200024765386,-0.0366683786225648,-0.0297021409608449,-0.0431434407692244,-0.0227591045317061,0,"NZ","SARSCOV2"
2022-08-15,14,-0.0330306175935862,-0.0364802517486549,-0.0295057035408213,-0.0432688196905281,-0.0225984742915089,0,"NZ","SARSCOV2"
2022-08-16,15,-0.0330159505651415,-0.0363397203132443,-0.0294823260259915,-0.0428309700716702,-0.0229689104800874,0,"NZ","SARSCOV2"
2022-08-17,16,-0.033083887834028,-0.036417268230353,-0.02965919896839,-0.0426900635654632,-0.023479914869183,0,"NZ","SARSCOV2"
2022-08-18,17,-0.0333421376770477,-0.0365818637997648,-0.0298252434251531,-0.0430642976717513,-0.0234143766001502,0,"NZ","SARSCOV2"
2022-08-19,18,-0.0335067043554227,-0.0369187461553199,-0.0299108712048043,-0.0436027152001378,-0.0232552046681271,0,"NZ","SARSCOV2"
2022-08-20,19,-0.0335835997153593,-0.0372017453373739,-0.0299317416031923,-0.0440060662054523,-0.0229750269632767,0,"NZ","SARSCOV2"
2022-08-21,20,-0.033599106403021,-0.0371702885364886,-0.030099203967647,-0.0439415515889608,-0.0230418446924938,0,"NZ","SARSCOV2"
2022-08-22,21,-0.0336409029169877,-0.0371113243934361,-0.0301695689016787,-0.0435986993114656,-0.0232785107783255,0,"NZ","SARSCOV2"
2022-08-23,22,-0.0335273362567592,-0.0370992428621896,-0.0301543061131552,-0.0435282942108277,-0.0233262848276703,0,"NZ","SARSCOV2"
2022-08-24,23,-0.0333082620796503,-0.0370308833710594,-0.0298002648932886,-0.0437918903358655,-0.0228226556901777,0,"NZ","SARSCOV2"
2022-08-25,24,-0.0330346598976308,-0.0367155940341212,-0.0293633714800415,-0.0436221371578816,-0.0223448227051416,0,"NZ","SARSCOV2"
2022-08-26,25,-0.0326177317869785,-0.0362144445544137,-0.028903654816864,-0.0430906698830937,-0.0220705470915993,0,"NZ","SARSCOV2"
2022-08-27,26,-0.0320328603969242,-0.0355433595712308,-0.0284358483211917,-0.0422757239256808,-0.0218313119380644,0,"NZ","SARSCOV2"
2022-08-28,27,-0.0313615354646954,-0.0349671156297447,-0.0277766309806645,-0.0417441511256415,-0.0212440440668345,0,"NZ","SARSCOV2"
