"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2022-09-07,2,-0.0614400605092777,-0.0690751249448363,-0.053509117025768,-0.0847600984242013,-0.0381482493693612,0,"NZ"
2022-09-08,3,-0.0611084350730557,-0.0683003162278579,-0.0538795731245938,-0.0828725157399265,-0.0398349086602133,0,"NZ"
2022-09-09,4,-0.0606818916183944,-0.0674366683041767,-0.0541037018710728,-0.0809118011397851,-0.0411064562297814,0,"NZ"
2022-09-10,5,-0.0600884953671863,-0.066270100023855,-0.0540670783889261,-0.0783362066239066,-0.042467053148828,0,"NZ"
2022-09-11,6,-0.0594084887954436,-0.0648622924682736,-0.0538090898775543,-0.0758019278669687,-0.0433534035831495,0,"NZ"
2022-09-12,7,-0.0584497072141961,-0.0634950502874805,-0.0532858458109062,-0.0733125954856525,-0.0438457643623657,0,"NZ"
2022-09-13,8,-0.0570887884250122,-0.0617663092823806,-0.0522853136918358,-0.0710464387585512,-0.0432503273696088,0,"NZ"
2022-09-14,9,-0.0552537962134649,-0.0597445999614092,-0.0507031780271439,-0.0683507763180276,-0.0421058087755682,0,"NZ"
2022-09-15,10,-0.0529752197051669,-0.0572262606883243,-0.0487395861016842,-0.0652109792005188,-0.040749685028919,0,"NZ"
2022-09-16,11,-0.0502881947072376,-0.0542706398260513,-0.046292950927288,-0.0617058217290508,-0.0387484647322523,0,"NZ"
2022-09-17,12,-0.0472549157867062,-0.0510372421396437,-0.043276209637547,-0.0583921767500575,-0.0361154740948429,0,"NZ"
2022-09-18,13,-0.0438592628053645,-0.047980106632314,-0.0399268919762408,-0.0555353243128463,-0.032629797677901,0,"NZ"
2022-09-19,14,-0.0404106085697258,-0.0444921033985453,-0.036470980300495,-0.0520527222617239,-0.0289929974019587,0,"NZ"
2022-09-20,15,-0.0369178427430503,-0.0407944458927885,-0.032954712029827,-0.0483656521151675,-0.025760596986944,0,"NZ"
2022-09-21,16,-0.0332042353164894,-0.0369483609981254,-0.0293825816775877,-0.044341983067457,-0.0223174136531612,0,"NZ"
2022-09-22,17,-0.0292575217749742,-0.0331192264652809,-0.0255083155025027,-0.0404450136105563,-0.0182283998733297,0,"NZ"
2022-09-23,18,-0.0252334681563022,-0.0291776599363498,-0.0213156184052925,-0.0366871836042644,-0.0137817774703907,0,"NZ"
2022-09-24,19,-0.0210779339199214,-0.0250760331785869,-0.0170568749805908,-0.0327014849889259,-0.00933371205499751,0,"NZ"
2022-09-25,20,-0.0167644054648592,-0.0205912207631711,-0.0128160762935732,-0.0282321667675361,-0.00522061416695716,0.00225,"NZ"
2022-09-26,21,-0.0122412223413346,-0.0159750383461428,-0.00855365685648946,-0.0234032982405221,-0.00117697319902124,0.01625,"NZ"
2022-09-27,22,-0.0076490461094374,-0.0114306381036395,-0.00399675571188074,-0.0184825447287244,0.00355995289774224,0.085,"NZ"
2022-09-28,23,-0.00317042438282611,-0.00703216312019328,0.000779705806616127,-0.0146552339462437,0.00844257906525276,0.295375,"NZ"
2022-09-29,24,0.0012891093064602,-0.00269471516540043,0.00537848912188021,-0.0104709373177701,0.0132137866255128,0.58825,"NZ"
2022-09-30,25,0.00566877673565314,0.00166627018593113,0.00962912388983117,-0.00580508207761665,0.0175021212739466,0.82725,"NZ"
2022-10-01,26,0.00989713932950353,0.00599920368392604,0.0137095314841298,-0.00114395851657607,0.0213112038842706,0.96025,"NZ"
2022-10-02,27,0.0139397758420658,0.0102300971330687,0.0178168329687711,0.002892513938736,0.0254509540853721,0.9945,"NZ"
2022-10-03,28,0.017692947464119,0.0138787424095133,0.0217587150478022,0.00624582867718997,0.0297700571478851,0.99875,"NZ"
2022-10-04,29,0.0212286905088801,0.0171310923648726,0.0252783660717835,0.00942637026620687,0.0334354602023413,1,"NZ"
2022-10-05,30,0.0243668978633158,0.0203064173809273,0.0282078999141973,0.012659616403878,0.0361682361173527,1,"NZ"
2022-10-06,31,0.0270379859901344,0.0231449822980827,0.0307244938122206,0.0156499515038371,0.0382912524802856,1,"NZ"
2022-10-07,32,0.0292323320363281,0.0254081120167571,0.0331115931795769,0.0180572893609011,0.0405162821385876,1,"NZ"
2022-10-08,33,0.0310102322339181,0.0271109700884733,0.0350001351544154,0.0196328653881872,0.0428578526575329,1,"NZ"
2022-10-09,34,0.0323112385082194,0.0283479187153506,0.0363396345952003,0.0208297643664072,0.0443636908653918,1,"NZ"
2022-10-10,35,0.0331570264734808,0.0293249337236807,0.0370675150390762,0.0218386533583891,0.0448261643746316,1,"NZ"
2022-10-11,36,0.0335387850433575,0.0299019154292628,0.0371646216765453,0.0226555444805439,0.044538300674255,1,"NZ"
2022-10-12,37,0.0334465540545006,0.0297058965810599,0.0370079896902777,0.0227331574920848,0.0442331395653641,1,"NZ"
2022-10-13,38,0.032950365753234,0.0291122726661135,0.0366271961634765,0.0218672565401845,0.0441533495711892,1,"NZ"
2022-10-14,39,0.0320708555520732,0.028108198622856,0.0357947609279377,0.0206099749765249,0.0433583557910653,1,"NZ"
2022-10-15,40,0.0307162917068844,0.0269166131293817,0.0344608376935893,0.019454257204317,0.0419362942387762,1,"NZ"
2022-10-16,41,0.0290510245597,0.0254938250253625,0.0326591884050911,0.0184547934708068,0.0399618155453345,1,"NZ"
2022-10-17,42,0.0270656850559727,0.0235233480378592,0.0306120274128219,0.0166728956442003,0.0381058373375223,1,"NZ"
2022-10-18,43,0.0250049416497338,0.0213659601612632,0.0287567937369522,0.0141507944729172,0.0363534001684229,1,"NZ"
2022-10-19,44,0.0230668351615657,0.0192590247331503,0.0268755702228631,0.0117286391067362,0.0344397572607312,0.99975,"NZ"
2022-10-20,45,0.0210043383126912,0.0173219724263769,0.0247973043800573,0.0100780433616236,0.0321471867795837,0.999875,"NZ"
2022-10-21,46,0.0190124954270932,0.0155599170005247,0.0226831279222692,0.00860806606833426,0.029727387776715,0.99975,"NZ"
2022-10-22,47,0.0171170979859716,0.013595453858835,0.0205688115831371,0.00671214335785384,0.0275594375420499,0.999375,"NZ"
2022-10-23,48,0.0152172806058681,0.0116178986365245,0.0188490770684919,0.00439972541873073,0.0259104718270956,0.997125,"NZ"
2022-10-24,49,0.0133505882854719,0.00968647395582334,0.0171130642184687,0.00227259963394555,0.0241908868572303,0.9915,"NZ"
2022-10-25,50,0.0116762815555962,0.00799351369097479,0.0152650614373129,0.000836150468147356,0.0223588515121865,0.983,"NZ"
2022-10-26,51,0.0100718263833364,0.0065794486965014,0.0134650237872491,-0.000235184887463812,0.0202595401779202,0.97175,"NZ"
2022-10-27,52,0.00856349631525966,0.00502562110941085,0.0120075875403267,-0.00196064724797005,0.0186420089712622,0.94875,"NZ"
2022-10-28,53,0.00714337546308874,0.00350361187585513,0.0108149634311161,-0.00365171829510447,0.0178141717459026,0.9055,"NZ"
2022-10-29,54,0.00594446211115551,0.00215870023245013,0.00960742927880953,-0.00504454163874242,0.0168860157555958,0.856125,"NZ"
2022-10-30,55,0.00484691174529051,0.00116929106826169,0.00839812541619622,-0.00600457084366237,0.0154800617221979,0.8115,"NZ"
2022-10-31,56,0.00377083324261784,0.000365288556954724,0.00725158470725962,-0.00630755739778846,0.0139450202573265,0.771125,"NZ"
2022-11-01,57,0.00289883826263315,-0.000352344202921184,0.00646709208010843,-0.00701134820110665,0.0130164251204853,0.724125,"NZ"
