"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location","pathogen"
2022-06-15,2,0.0240168457871992,0.0160821682558407,0.0321239526128646,0.000409469389758943,0.0469239619530191,0.977125,"NZ","SARSCOV2"
2022-06-16,3,0.0243118584856843,0.0168420574480246,0.031897972854789,0.00241045317401765,0.0455022841951071,0.98475,"NZ","SARSCOV2"
2022-06-17,4,0.0247029364801308,0.0177602815839839,0.0316636665438897,0.0045434844838856,0.0442353065017209,0.991875,"NZ","SARSCOV2"
2022-06-18,5,0.025243027711694,0.0187908260785354,0.0314491542872573,0.00682405841529397,0.0432578819681697,0.99725,"NZ","SARSCOV2"
2022-06-19,6,0.0257599218753946,0.0200909037697974,0.0313534677019218,0.0094253078560584,0.0418561805687907,0.999625,"NZ","SARSCOV2"
2022-06-20,7,0.0264416718169307,0.0213873772113657,0.0315410757244339,0.0117443004326747,0.0410378320499514,0.99975,"NZ","SARSCOV2"
2022-06-21,8,0.0272124162171625,0.0225262173015923,0.0319206664942613,0.0134996138264729,0.0408737633468681,0.999875,"NZ","SARSCOV2"
2022-06-22,9,0.0279800315114045,0.0235876278880485,0.0323698402305606,0.0150781728160276,0.0407617776078476,1,"NZ","SARSCOV2"
2022-06-23,10,0.0287622215692771,0.0246715229229395,0.0328193656455136,0.0166770153498341,0.0406005874289344,1,"NZ","SARSCOV2"
2022-06-24,11,0.0295506774560499,0.0258323540687193,0.0333441618336983,0.0185257827179943,0.040309827842286,1,"NZ","SARSCOV2"
2022-06-25,12,0.0303345835254927,0.0267486802551815,0.0339157393923288,0.0197552470122355,0.0405727436343283,1,"NZ","SARSCOV2"
2022-06-26,13,0.0309391797241143,0.0273558740180737,0.0346306901282853,0.020343142246308,0.0413112692215622,1,"NZ","SARSCOV2"
2022-06-27,14,0.0314323257736988,0.027927988833272,0.0351201700903341,0.0210333923167515,0.0416794121885008,1,"NZ","SARSCOV2"
2022-06-28,15,0.0318360585949984,0.0284464595342813,0.0353624292250447,0.0218969628661654,0.0417664482149803,1,"NZ","SARSCOV2"
2022-06-29,16,0.0320769267896703,0.0288756585636849,0.0353662416042118,0.0227117656361714,0.0415051285214631,1,"NZ","SARSCOV2"
2022-06-30,17,0.032151910316617,0.0289736329464017,0.0354683253398094,0.0229732566952656,0.04160959603659,1,"NZ","SARSCOV2"
2022-07-01,18,0.0321012812141195,0.0286436438375215,0.0354708207306911,0.0224759575538286,0.0419850784279088,1,"NZ","SARSCOV2"
2022-07-02,19,0.031849654703608,0.0283228800079514,0.035244532546254,0.0218938146859394,0.0419630525892128,1,"NZ","SARSCOV2"
2022-07-03,20,0.0313044452977733,0.0279038802941345,0.0347103654942054,0.0215801583687073,0.0411676631928147,1,"NZ","SARSCOV2"
2022-07-04,21,0.0306346584080615,0.0274531462495393,0.033703749792408,0.0214284853294859,0.0399311783023274,1,"NZ","SARSCOV2"
2022-07-05,22,0.0297114647000938,0.02664063095728,0.0328786715679488,0.0206561429364315,0.0390282355304194,1,"NZ","SARSCOV2"
2022-07-06,23,0.0285937656714759,0.0254111801673922,0.0319006227315026,0.0191651515494893,0.0380598432521867,1,"NZ","SARSCOV2"
2022-07-07,24,0.0272558845029609,0.0240127751671466,0.0307334071510381,0.0177186737063941,0.0370691565478408,1,"NZ","SARSCOV2"
2022-07-08,25,0.0257811476825571,0.0225482101231209,0.029017044479684,0.0166148087713829,0.0352779945653226,1,"NZ","SARSCOV2"
2022-07-09,26,0.0239994563903725,0.0210025067799242,0.0271345881061571,0.0152895384696547,0.0330165677408247,1,"NZ","SARSCOV2"
2022-07-10,27,0.0220504858379402,0.0190379945158241,0.0251397419868351,0.0131965446379809,0.0313067813860542,1,"NZ","SARSCOV2"
2022-07-11,28,0.0198894948298176,0.0167658715139021,0.0230976170863795,0.0106622469259943,0.0295613008624107,1,"NZ","SARSCOV2"
2022-07-12,29,0.0175284306987802,0.0142869621872934,0.0207904637618901,0.00807189581984431,0.027371009432924,0.999875,"NZ","SARSCOV2"
2022-07-13,30,0.0150114271066708,0.011878336655164,0.018207181715874,0.00586414225970682,0.0245275631782063,0.998875,"NZ","SARSCOV2"
2022-07-14,31,0.0123359179059195,0.00929540653363126,0.0152769191891438,0.00371434089813127,0.0210191824254563,0.997125,"NZ","SARSCOV2"
2022-07-15,32,0.00946454686391052,0.00645417177215735,0.0123488009291184,0.000753204268107366,0.0179048675118287,0.983625,"NZ","SARSCOV2"
2022-07-16,33,0.0066288688428533,0.00347857297802112,0.00963110940423495,-0.00240874515281513,0.0152619411976065,0.92275,"NZ","SARSCOV2"
2022-07-17,34,0.00375488373623023,0.0005821764287679,0.0068943392698908,-0.00545344633410763,0.0126282183711119,0.787125,"NZ","SARSCOV2"
2022-07-18,35,0.000924955522450865,-0.00216518377602082,0.00395621017576753,-0.00800087453667237,0.00958230465673273,0.579875,"NZ","SARSCOV2"
2022-07-19,36,-0.00186979661889941,-0.00483468598952252,0.00103948101756779,-0.0105329431131699,0.00645004302573686,0.33075,"NZ","SARSCOV2"
2022-07-20,37,-0.00463311098056529,-0.0076133244973009,-0.00162764066317234,-0.0133614816237946,0.00392102854181542,0.14675,"NZ","SARSCOV2"
2022-07-21,38,-0.00727417904030014,-0.0104455212541663,-0.00414946858780474,-0.0166556507534739,0.00177634982831905,0.057125,"NZ","SARSCOV2"
2022-07-22,39,-0.00985207489764761,-0.0130534467588865,-0.00662716606156954,-0.0193091690381002,-0.000536164152663089,0.01925,"NZ","SARSCOV2"
2022-07-23,40,-0.0123435843067869,-0.0154722810320136,-0.00926956717858629,-0.0217386076119131,-0.00328835404853527,0.004625,"NZ","SARSCOV2"
2022-07-24,41,-0.0147804348988965,-0.0177597561722729,-0.0118447340691159,-0.023794038801057,-0.0061254282459154,5e-04,"NZ","SARSCOV2"
2022-07-25,42,-0.0171779222957453,-0.0201044740625915,-0.0142065352258838,-0.0260764820504435,-0.00847610842152846,0,"NZ","SARSCOV2"
2022-07-26,43,-0.0194405658497288,-0.0226098795179279,-0.0161929333205775,-0.0285809591653925,-0.01005050322013,0,"NZ","SARSCOV2"
2022-07-27,44,-0.0214987803532156,-0.0247938899601459,-0.0183549810421326,-0.0310707828841404,-0.0118604714076539,0,"NZ","SARSCOV2"
2022-07-28,45,-0.0234936588494112,-0.0267217104846846,-0.0204743444852264,-0.0329076773724552,-0.014226266006091,0,"NZ","SARSCOV2"
2022-07-29,46,-0.0253998591000943,-0.0284325483418897,-0.0224828073055841,-0.03437311967016,-0.0165977683460604,0,"NZ","SARSCOV2"
2022-07-30,47,-0.0271987828004958,-0.0301814617349287,-0.0242349924865566,-0.036241499643065,-0.0185555541393913,0,"NZ","SARSCOV2"
2022-07-31,48,-0.0288250578556686,-0.0319520135625182,-0.0256259790815898,-0.0383190429131354,-0.0196200147760254,0,"NZ","SARSCOV2"
2022-08-01,49,-0.030245795738749,-0.0335393468576659,-0.0269937328814018,-0.0400132081217468,-0.0208212583058867,0,"NZ","SARSCOV2"
2022-08-02,50,-0.0314595905568695,-0.0347509565139892,-0.0282826126874645,-0.0411763219906667,-0.0220731456089419,0,"NZ","SARSCOV2"
2022-08-03,51,-0.0325724779885852,-0.0357760135046528,-0.0294471725650327,-0.0420756345853267,-0.0234747295448656,0,"NZ","SARSCOV2"
2022-08-04,52,-0.0334720046054691,-0.0367654764680652,-0.0302927301864855,-0.0431855845470904,-0.0243030186345641,0,"NZ","SARSCOV2"
2022-08-05,53,-0.0341531865179774,-0.0376604719075995,-0.0307857763261274,-0.0440626572513768,-0.0244624095755256,0,"NZ","SARSCOV2"
2022-08-06,54,-0.0345837373026066,-0.0380595537127775,-0.0311198632326846,-0.0448053511426365,-0.0245804848581959,0,"NZ","SARSCOV2"
2022-08-07,55,-0.0347757419989643,-0.0380584257105776,-0.031358059037216,-0.0448955589234677,-0.0249156557394979,0,"NZ","SARSCOV2"
2022-08-08,56,-0.0346314548088893,-0.0378622874726255,-0.0314412992653601,-0.0442238657637208,-0.0252091813530799,0,"NZ","SARSCOV2"
2022-08-09,57,-0.0343335677167089,-0.0375565878380799,-0.031102492012588,-0.0438496211181118,-0.0248938483884596,0,"NZ","SARSCOV2"
2022-08-10,58,-0.0340558158484865,-0.0374576074215536,-0.0305774297828592,-0.0439190715292062,-0.023904506687569,0,"NZ","SARSCOV2"
2022-08-11,59,-0.0337816966304785,-0.0373320764877509,-0.0302316648175474,-0.0439664318174877,-0.023355499204073,0,"NZ","SARSCOV2"
2022-08-12,60,-0.0335265713380424,-0.0370330654739335,-0.0300979553364145,-0.043529292069834,-0.023240653735984,0,"NZ","SARSCOV2"
2022-08-13,61,-0.0333549411254972,-0.0367862686543081,-0.0301155379880027,-0.0430196453808233,-0.0233971319002222,0,"NZ","SARSCOV2"
2022-08-14,62,-0.0333271909608293,-0.036661873364642,-0.0298970331427482,-0.0431022376034181,-0.02301730979248,0,"NZ","SARSCOV2"
2022-08-15,63,-0.0332821527120948,-0.0368076498897771,-0.0296276088601406,-0.0434956065610939,-0.0224620712356138,0,"NZ","SARSCOV2"
2022-08-16,64,-0.0332835075815026,-0.03694807237522,-0.0295699340983389,-0.0438780089443436,-0.02237639059623,0,"NZ","SARSCOV2"
2022-08-17,65,-0.0334112892081473,-0.036986338622782,-0.0297872507345469,-0.0437272132024917,-0.0227072911515421,0,"NZ","SARSCOV2"
2022-08-18,66,-0.0335918581481391,-0.0370862126007345,-0.0302100643864704,-0.0435829270431166,-0.0232333767665048,0,"NZ","SARSCOV2"
2022-08-19,67,-0.0338833940110941,-0.0373960899859781,-0.030458665300598,-0.0439078723989921,-0.0234995323307762,0,"NZ","SARSCOV2"
2022-08-20,68,-0.0341020515766186,-0.0377565938754341,-0.030522473783536,-0.0446516368297081,-0.0232596586407719,0,"NZ","SARSCOV2"
2022-08-21,69,-0.0342246153013661,-0.0379475184804898,-0.0305177048274874,-0.0451234880232259,-0.0232115511921299,0,"NZ","SARSCOV2"
2022-08-22,70,-0.0341456219700942,-0.0378489698257096,-0.0305092965286785,-0.044980054038583,-0.023261846352351,0,"NZ","SARSCOV2"
2022-08-23,71,-0.0340281522067112,-0.037593205501029,-0.0305002728720744,-0.0444846117022787,-0.0235504304913246,0,"NZ","SARSCOV2"
2022-08-24,72,-0.0338079430528369,-0.0373649411816638,-0.0302607290583493,-0.0442174729536156,-0.0233426448556297,0,"NZ","SARSCOV2"
