location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-07-08,2025-07-10,2025-07-09
NSW,RSV,2025-07-08,2025-07-10,2025-07-09
NT,RSV,2025-07-07,2025-07-10,2025-07-09
NZ,RSV,NA,NA,NA
QLD,RSV,2025-07-08,2025-07-10,2025-07-09
TAS,RSV,2025-07-04,2025-07-10,2025-07-09
VIC,RSV,2025-07-08,2025-07-10,2025-07-09
WA,RSV,2025-07-07,2025-07-10,2025-07-09
ACT,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
NSW,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
NT,SARSCOV2,2025-07-07,2025-07-10,2025-07-09
NZ,SARSCOV2,2025-06-29,2025-07-10,2025-06-30
QLD,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
TAS,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
VIC,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
WA,SARSCOV2,2025-07-04,2025-07-10,2025-07-09
ACT,flu,2025-07-08,2025-07-10,2025-07-09
NSW,flu,2025-07-08,2025-07-10,2025-07-09
NT,flu,2025-07-07,2025-07-10,2025-07-09
NZ,flu,NA,NA,NA
QLD,flu,2025-07-08,2025-07-10,2025-07-09
TAS,flu,2025-07-07,2025-07-10,2025-07-09
VIC,flu,2025-07-08,2025-07-10,2025-07-09
WA,flu,2025-07-07,2025-07-10,2025-07-09
NZ,RSV_NZhosp,2025-06-22,2025-07-10,2025-06-30
NZ,SARSCOV2_NZhosp,2025-06-28,2025-07-10,2025-06-30
NZ,flu_NZhosp,2025-06-22,2025-07-10,2025-06-30
SA,RSV,2025-07-08,2025-07-10,2025-07-09
SA,SARSCOV2,2025-07-08,2025-07-10,2025-07-09
SA,flu,2025-07-08,2025-07-10,2025-07-09
