location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-08-19,2025-08-21,2025-08-20
NSW,RSV,2025-08-19,2025-08-21,2025-08-20
NT,RSV,2025-08-15,2025-08-21,2025-08-20
NZ,RSV,NA,NA,NA
QLD,RSV,2025-08-19,2025-08-21,2025-08-20
SA,RSV,2025-08-19,2025-08-21,2025-08-20
TAS,RSV,2025-08-15,2025-08-21,2025-08-20
VIC,RSV,2025-08-19,2025-08-21,2025-08-20
WA,RSV,2025-08-19,2025-08-21,2025-08-20
ACT,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
NSW,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
NT,SARSCOV2,2025-08-15,2025-08-21,2025-08-20
NZ,SARSCOV2,2025-08-13,2025-08-21,2025-08-17
QLD,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
SA,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
TAS,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
VIC,SARSCOV2,2025-08-19,2025-08-21,2025-08-20
WA,SARSCOV2,2025-08-15,2025-08-21,2025-08-20
ACT,flu,2025-08-19,2025-08-21,2025-08-20
NSW,flu,2025-08-19,2025-08-21,2025-08-20
NT,flu,2025-08-15,2025-08-21,2025-08-20
NZ,flu,NA,NA,NA
QLD,flu,2025-08-19,2025-08-21,2025-08-20
SA,flu,2025-08-19,2025-08-21,2025-08-20
TAS,flu,2025-08-19,2025-08-21,2025-08-20
VIC,flu,2025-08-19,2025-08-21,2025-08-20
WA,flu,2025-08-19,2025-08-21,2025-08-20
NZ,RSV_NZhosp,2025-08-10,2025-08-21,2025-08-14
NZ,SARSCOV2_NZhosp,2025-08-08,2025-08-21,2025-08-17
NZ,flu_NZhosp,2025-08-10,2025-08-21,2025-08-14
