location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-06-08,2025-06-12,2025-06-11
NSW,RSV,2025-06-08,2025-06-12,2025-06-11
NT,RSV,2025-06-05,2025-06-12,2025-06-11
NZ,RSV,NA,NA,NA
QLD,RSV,2025-06-10,2025-06-12,2025-06-11
TAS,RSV,2025-06-05,2025-06-12,2025-06-11
VIC,RSV,2025-06-08,2025-06-12,2025-06-11
WA,RSV,2025-06-10,2025-06-12,2025-06-11
ACT,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
NSW,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
NT,SARSCOV2,2025-06-06,2025-06-12,2025-06-11
NZ,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
QLD,SARSCOV2,2025-06-10,2025-06-12,2025-06-11
TAS,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
VIC,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
WA,SARSCOV2,2025-06-08,2025-06-12,2025-06-11
ACT,flu,2025-06-08,2025-06-12,2025-06-11
NSW,flu,2025-06-08,2025-06-12,2025-06-11
NT,flu,2025-06-06,2025-06-12,2025-06-11
NZ,flu,NA,NA,NA
QLD,flu,2025-06-10,2025-06-12,2025-06-11
TAS,flu,2025-06-08,2025-06-12,2025-06-11
VIC,flu,2025-06-08,2025-06-12,2025-06-11
WA,flu,2025-06-10,2025-06-12,2025-06-11
NZ,SARSCOV2_NZhosp,2025-06-07,2025-06-12,2025-06-09
