location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-06-24,2025-06-26,2025-06-25
NSW,RSV,2025-06-24,2025-06-26,2025-06-25
NT,RSV,2025-06-21,2025-06-26,2025-06-25
NZ,RSV,NA,NA,NA
QLD,RSV,2025-06-24,2025-06-26,2025-06-25
TAS,RSV,2025-06-20,2025-06-26,2025-06-25
VIC,RSV,2025-06-24,2025-06-26,2025-06-25
WA,RSV,2025-06-24,2025-06-26,2025-06-25
ACT,SARSCOV2,2025-06-24,2025-06-26,2025-06-25
NSW,SARSCOV2,2025-06-24,2025-06-26,2025-06-25
NT,SARSCOV2,2025-06-23,2025-06-26,2025-06-25
NZ,SARSCOV2,2025-06-15,2025-06-26,2025-06-16
QLD,SARSCOV2,2025-06-24,2025-06-26,2025-06-25
TAS,SARSCOV2,2025-06-24,2025-06-26,2025-06-25
VIC,SARSCOV2,2025-06-24,2025-06-26,2025-06-25
WA,SARSCOV2,2025-06-20,2025-06-26,2025-06-25
ACT,flu,2025-06-24,2025-06-26,2025-06-25
NSW,flu,2025-06-24,2025-06-26,2025-06-25
NT,flu,2025-06-23,2025-06-26,2025-06-25
NZ,flu,NA,NA,NA
QLD,flu,2025-06-24,2025-06-26,2025-06-25
TAS,flu,2025-06-24,2025-06-26,2025-06-25
VIC,flu,2025-06-24,2025-06-26,2025-06-25
WA,flu,2025-06-24,2025-06-26,2025-06-25
NZ,RSV_NZhosp,2025-06-08,2025-06-26,2025-06-16
NZ,SARSCOV2_NZhosp,2025-06-15,2025-06-26,2025-06-16
NZ,flu_NZhosp,2025-06-08,2025-06-26,2025-06-16
